galaxy		    class	object		eps_c	c_err	eps_n	n_err	eps_o	o_err	eps_fe	fe_err
MW              ?       M8          8.70    0.09    7.96    0.06    8.72    0.05    6.04    0.09
MW              ?       M17         8.77    0.04    7.87    0.13    8.76    0.04    5.87    0.12
