# NGC-5253 is a starburst BCDG
# link = https://ui.adsabs.harvard.edu/abs/2007ApJ...656..168L/abstract
# UVES observations
# RL abundances
# IC for C from Garnett 1999
# O++ from RL and O+ from CEL, except for the last region (D)
# no plots in paper
galaxy	    class	object	eps_c	c_err	eps_n	n_err	eps_o	o_err	eps_fe	fe_err
NGC-5253    BCGD	A    7.92	0.15	7.47	0.17	8.42	0.13	6.43	0.23
NGC-5253    BCGD	B    7.84	NaN	7.33	0.18	8.37	0.13	6.23	0.27
NGC-5253    BCGD	C    7.92	0.16	7.01	0.17	8.53	0.09	6.17	0.25
NGC-5253    BCGD	D    NaN	NaN	6.82	0.07	8.31	0.07	6.06	0.15
