# Source: https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.4436M/abstract
# Mendez delgado et al 2022
# RL line derived abundances
# Use UVES / VLT
# ICFs from recent photoionization models
region		eps_c	eps_c_err	eps_o	eps_o_err	R_g	R_g_err
Sh 2-311	8.26	0.09		8.58	0.05		11.60	0.44
NGC 2579	8.20	0.06		8.61	0.06		10.82	0.44
NGC 3576	8.50	0.04		8.79	0.04		7.66	0.10
NGC 3603	8.54	0.07		8.70	0.05		8.61	0.11
M8		8.53	0.06		8.69	0.05		6.99	0.14
M16		8.62	0.10		8.79	0.06		6.58	0.27
M17		8.80	0.04		8.83	0.05		6.46	0.25
M20		8.52	0.19		8.76	0.05		6.79	0.18
M42		8.47	0.05		8.78	0.05		8.54	0.11	
