,alpha,_x,_counts,y0_cc,zeta_cc,A_cc,obs,obs_err
0,5.454250848605578e-05,-0.45,251,0.00037363700557768926,0.0004980037521912351,0.00016308450119521914,0.0010736112089603299,3.9408023398265184e-05
1,7.271104386842105e-05,-0.35000000000000003,380,0.00046237815868421057,0.000669421535,0.0001463852670526316,0.00131976109594721,1.6658308863595204e-05
2,0.00010795891978896106,-0.25000000000000006,616,0.0005864480279220779,0.0009304993254870131,0.00011256302094155844,0.0015632272576117285,9.682197874512128e-06
3,0.0001435575471523179,-0.15000000000000008,1208,0.0007355028667218543,0.001257370415562914,7.900948815397352e-05,0.0019270066959481305,8.288437902879223e-06
4,0.00019054373390136987,-0.0500000000000001,1825,0.0009290251448767124,0.0017038579441095891,4.4971888652054795e-05,0.0024109012234498047,8.138685434001155e-06
5,0.000206030569112238,0.04999999999999988,2958,0.0011705622998647736,0.0022779438644354296,2.4810270409060176e-05,0.003152213674281278,1.1248161318416219e-05
6,0.00023986746876620475,0.14999999999999986,2237,0.0014385377662047387,0.0029292180268216364,2.5643662820742064e-05,0.004132295781792413,1.5029776447764148e-05
7,0.00039389435350089766,0.24999999999999983,557,0.0017367103123877919,0.0036794378779174144,5.1742009389587076e-05,0.005474124679226965,2.249489674824877e-05
