JINA_ID,Ref,Name,Simbad_Identifier,NLTE,I_mag,Teff,logg,Mg/H,C/Mg
1439,ROE14b,CS29517-042,BPS_CS_29517-0042,*,,6120,3.75,'-2.28,0.01
1440,LAI08,CS29522-046,BPS_CS_29522-0046,*,,6055,3.8,'-1.71,0.13
1441,SIV06,CS29528-041,BPS_CS_29528-0041,*,,6150,4,'-2.92,1.19
1444,ROE14b,CS22890-064,BPS_CS_30306-0117,*,,5960,3.6,'-2.7,<0.42
1454,ROE14b,CS22888-014,BPS_CS_30493-0023,*,,6020,3.7,'-2.3,<0.27
1455,ROE14b,CS30493-071,BPS_CS_30493-0071,*,,5700,3.55,'-2.37,'-0.1
1460,LAI08,CS31085-024,BPS_CS_31085-0024,*,,5949,4.57,'-2.53,0.3
1480,IVA05,CS29497-030,CD-24_266,*,12.216,7000,4.1,'-2.15,2.18
1482,ROE14b,CS29497-030,CD-24_266,*,12.216,7000,4,'-2.17,2.02
1483,SIV04,CS29497-030,CD-24_266,*,12.216,6650,3.5,'-2.18,1.95
1492,ROE14b,CS29509-027,CD-31_306,*,,6850,3.5,'-1.99,1.31
1536,ROE14b,G10-54,G_10-54,*,11.3,5210,4.4,'-2.17,'-0.41
1542,ROE14b,G122-69,G_122-69,*,11.3,6010,3.7,'-2.43,<0.6
1546,ROE14b,G25-22,G_145-28,*,,5350,3.95,'-1.98,'-0.6
1551,ROE14b,G166-47,G_166-47,*,11.7,5960,3.7,'-2.03,'-0.05
1554,ROE14b,G214-1,G_214-1,*,11,5370,4.05,'-1.99,'-0.42
1558,ROE14b,G238-30,G_238-30,*,11.5,5740,3.5,'-2.84,<0.61
1561,ROE14b,G25-24,G_25-24,*,10.91,5670,3.55,'-1.86,'-0.17
1563,ROE14b,CS22180-014,G_272-44,*,,5780,3.55,'-2.37,'-0.01
1567,AOK14,G39-36,G_39-36,*,11.1,4575,5,'-1.98,'-0.25
1568,IVA03,G4-36,G_4-36,*,10.795,5975,4.05,'-2.14,0.3
1569,ROE14b,G4-36,G_4-36,*,10.795,5810,3.65,'-2.28,0.37
1571,ROE14b,G4-37,G_4-37,*,10.9,6110,3.75,'-2.33,0.09
1573,ROE14b,G75-56,G_75-56,*,11.296,6190,3.85,'-2.01,'-0.02
1575,ROE14b,G90-3,G_90-3,*,10,5680,3.6,'-2.09,'-0.4
1578,ROE14b,CS29514-007,GD_678,*,13.375,6400,3.85,'-2.61,0.67
1724,AOK02b,HD140283,HD_140283,*,8.21,5750,3.3,'-2.37,0.24
1732,HON04,HD140283,HD_140283,*,8.21,5630,3.5,'-2.34,0.22
1772,ROE14b,HD175606,HD_175606,*,,5920,3.7,'-2.09,'-0.06
1802,ROE14b,HD19445,HD_19445,*,7.27,5820,3.65,'-1.83,'-0.18
1907,ROE14b,HD338529,HD_338529,*,9,6060,3.75,'-2.2,'-0.1
1909,ROE14b,HD340279,HD_340279,*,10.5,5950,3.65,'-2.83,0.31
1953,ROE14b,HD64090,HD_64090,*,7.3,5150,4.05,'-1.65,'-0.35
2023,YON13,HE0228-4047,HE_0228-4047,*,,6515,3.8,'-3.49,<1.62
2024,YON13,HE0231-6025,HE_0231-6025,*,,6437,4.36,'-2.71,<1.24
2025,YON13,HE0253-1331,HE_0253-1331,*,,6474,4.34,'-2.76,<1.39
2027,YON13,HE0314-1739,HE_0314-1739,*,,6570,4.25,'-2.82,<1.45
2032,HAN15,HE0440-1049,HE_0440-1049,*,,5800,3.5,'-2.23,'-0.1
2033,HAN15,HE0450-4902,HE_0450-4902,*,,6300,4.5,'-2.54,1.5
2035,HAN15,HE0945-1435,HE_0945-1435,*,,6300,4.5,'-3.76,<1.89
