mass    Z       m_rem
1.65    0.02    0.651
2       0.02    0.620
3       0.02    0.642
4       0.02    0.818
5       0.02    0.877
1.65    0.01    0.621
2       0.01    0.621
3       0.01    0.659
4       0.01    0.841
5       0.01    0.910
