mass_flame,vsini_esphs,flags_esphs
1.7068272,87.79426,01
3.210598,47.252785,01
3.1121883,366.06656,01
2.9835138,61.85651,01
3.1321046,159.74765,01
2.4895828,115.64048,01
3.1709003,80.58792,01
3.2193696,175.8384,01
3.8600948,181.17468,01
1.9085039,181.50932,01
2.2597804,70.13716,01
2.170079,40.0662,01
3.6142979,146.79153,01
3.268245,60.3397,01
2.0348907,150.8988,01
2.261505,146.11359,01
2.3072667,87.24334,01
2.7520764,246.3031,01
2.605493,204.26022,01
2.144763,116.07915,01
1.9022948,97.91806,01
3.5492756,134.38272,01
2.1294887,183.01308,01
2.7100418,133.75412,01
1.9346011,23.271425,01
1.7662646,113.32792,01
4.504273,91.86324,01
5.678803,225.09567,01
4.3796196,23.671877,01
2.6844115,161.18587,01
2.1911657,157.28804,01
2.1670685,70.197975,01
2.5361528,44.6088,01
4.576951,0.0,01
3.396085,30.379913,01
2.9507444,161.47668,01
1.7471952,115.43426,01
1.7918704,26.304909,01
3.0684817,135.87648,01
1.8075744,157.1729,01
2.1051342,177.32202,01
3.199581,200.50089,01
1.9752182,151.66074,01
2.620253,67.14306,01
2.1141176,85.89305,01
2.2694342,78.291725,01
2.217389,5.7619815,01
2.422104,138.06206,01
1.9678224,163.53603,01
2.6556578,22.24292,01
3.0580652,138.71036,01
2.6960976,156.29034,01
3.1941214,19.852358,01
3.874254,146.91846,01
2.8826141,127.895935,01
1.9931277,74.74255,01
3.9914289,146.33093,01
1.7142295,206.93613,01
2.8074658,99.12911,01
3.1884696,159.05977,01
3.5709848,63.084034,01
3.0223484,23.081017,01
1.8554059,117.26545,01
2.7126195,71.99873,01
1.92387,116.66604,01
2.2303798,59.940285,01
4.881644,0.0,01
4.1493764,233.26111,01
3.5934858,144.83505,01
2.967368,125.63823,01
2.7212234,31.862423,01
2.0950465,124.17761,01
2.080541,115.111305,01
2.0418546,219.01215,01
2.3642905,149.64743,01
2.9308465,163.53569,01
3.8609996,0.0,01
1.8976387,52.30703,01
1.9910115,107.76796,01
2.4582007,162.6591,01
2.2198577,89.51864,01
3.342817,80.79894,01
2.0655003,97.769035,01
1.8676064,23.194242,01
1.8241475,63.99897,01
2.878004,32.432156,01
2.3019743,52.904408,01
2.2257776,127.124626,01
2.1494336,67.53169,01
2.385605,243.10663,01
2.915092,123.91849,01
1.805902,1.8096046,01
3.1341622,62.5257,01
2.062401,112.915054,01
3.1360102,135.76727,01
2.7947285,171.55313,01
2.0057073,86.992386,01
3.1088212,57.563053,01
2.7332847,34.222725,01
2.0297737,70.10768,01
5.4351134,164.77657,01
1.8528317,53.72122,01
1.9905702,101.571976,01
1.9879285,18.253353,01
2.0594165,118.439156,01
1.8852516,132.38913,01
2.3265455,157.10042,01
1.6287259,74.001755,01
2.1341302,50.100315,01
2.6121461,242.34518,01
2.0334284,33.89525,01
2.0809507,181.85521,01
2.87666,132.96523,01
2.3022363,289.74155,01
2.333124,88.37028,01
2.364586,59.995983,01
1.5808288,59.32511,01
3.599868,0.0,01
2.0464942,111.71202,01
2.127775,38.44716,01
1.7639599,2.7025962,01
2.3258553,97.14667,01
1.8145726,141.82346,01
2.015361,76.18709,01
2.2795181,145.92325,01
2.9793904,92.56834,01
3.5510974,286.11856,01
4.3010626,256.1549,01
2.4826844,0.0,01
2.4599605,79.32527,01
2.196807,160.74048,01
2.7167344,53.765396,01
2.0494206,192.72484,01
2.348337,137.44502,01
2.0568936,102.15238,01
3.0029156,64.1018,01
3.0831513,0.35001302,01
2.2876086,0.0,01
2.851496,80.46386,01
3.4609246,43.048996,01
1.8606478,60.811207,01
1.821485,66.84842,01
2.0623286,63.343258,01
2.0777943,41.017994,01
2.7140062,63.191338,01
3.1927385,0.0,01
2.058821,158.71547,01
2.4893255,530.42706,01
2.45035,54.19408,01
2.9609437,143.64722,01
2.0997894,95.36007,01
3.655912,76.213776,01
2.4949286,58.853962,01
2.2922328,119.24359,01
2.129845,96.079216,01
2.4887488,108.40326,01
1.769094,0.43576512,01
1.6967847,267.61255,01
2.2823865,32.501373,01
2.1085093,102.940445,01
2.990998,95.48255,01
2.0583727,91.00772,01
2.0932567,122.07589,01
2.1474812,180.72647,01
1.7408885,48.57445,01
3.43078,361.02078,01
2.3469477,0.26912704,01
2.2885537,88.93751,01
1.8607528,83.42143,01
1.9244789,109.179184,01
1.8060502,185.35292,01
7.18501,268.25626,01
2.0045824,127.58072,01
2.1418655,3.2455935,01
2.4179041,108.09572,01
3.3598518,68.96974,01
2.0813997,80.932365,01
4.245166,135.8061,01
2.286276,1.187462,01
3.8335955,0.0,01
4.9105964,0.0,01
1.947792,28.3841,01
1.7874402,96.91213,01
1.7918056,152.91614,01
1.7306268,1.10392,01
4.0114055,47.830467,01
1.683724,127.99094,01
2.109617,107.925514,01
2.3762965,61.386772,01
2.0031247,55.572906,01
3.0552323,149.73012,01
2.1212893,80.96578,01
2.9270563,113.28739,01
2.1521688,122.290726,01
2.3853555,67.43563,01
1.6473223,103.64545,01
1.956336,9.0081415,01
2.1948168,38.816837,01
2.3661911,89.14873,01
1.8820611,95.35256,01
1.8154888,92.03124,01
