H Mass Fractions
H Battino+ 2021, MDPI Universe
H Z=0.001, 0.002
 & specie & m2z1m3-bigpoc & m3z1m3-bigpoc & m2z2m3-bigpoc & \\ 
 & NI 64  & 1.580E-08     & 1.199E-08     & 7.327E-08     & \\ 
 & CU 63  & 9.978E-09     & 7.859E-09     & 5.607E-08     & \\ 
 & CU 65  & 5.273E-09     & 4.108E-09     & 3.748E-08     & \\ 
 & ZN 64  & 1.211E-08     & 1.142E-08     & 3.716E-08     & \\ 
 & ZN 66  & 8.016E-09     & 7.584E-09     & 3.287E-08     & \\ 
 & ZN 67  & 1.279E-09     & 1.201E-09     & 6.127E-09     & \\ 
 & ZN 68  & 5.890E-09     & 5.777E-09     & 2.740E-08     & \\ 
 & ZN 70  & 1.568E-10     & 1.576E-10     & 3.002E-10     & \\ 
 & GA 69  & 6.477E-10     & 6.207E-10     & 3.528E-09     & \\ 
 & GA 71  & 4.803E-10     & 4.296E-10     & 2.670E-09     & \\ 
 & GE 70  & 8.165E-10     & 7.779E-10     & 4.704E-09     & \\ 
 & GE 72  & 9.741E-10     & 9.955E-10     & 4.469E-09     & \\ 
 & GE 73  & 2.739E-10     & 2.869E-10     & 1.220E-09     & \\ 
 & GE 74  & 1.373E-09     & 1.500E-09     & 5.812E-09     & \\ 
 & GE 76  & 1.941E-10     & 1.963E-10     & 3.653E-10     & \\ 
 & AS 75  & 1.864E-10     & 2.007E-10     & 6.572E-10     & \\ 
 & SE 74  & 1.162E-11     & 1.179E-11     & 2.062E-11     & \\ 
 & SE 76  & 2.339E-10     & 2.629E-10     & 1.111E-09     & \\ 
 & SE 77  & 1.469E-10     & 1.589E-10     & 5.290E-10     & \\ 
 & SE 78  & 6.004E-10     & 6.878E-10     & 2.482E-09     & \\ 
 & SE 80  & 9.574E-10     & 1.125E-09     & 2.241E-09     & \\ 
 & SE 82  & 1.291E-10     & 1.299E-10     & 2.484E-10     & \\ 
 & BR 79  & 1.861E-10     & 2.116E-10     & 5.227E-10     & \\ 
 & BR 81  & 1.886E-10     & 2.131E-10     & 5.419E-10     & \\ 
 & KR 78  & 3.782E-12     & 3.840E-12     & 6.719E-12     & \\ 
 & KR 80  & 3.777E-11     & 3.292E-11     & 2.271E-10     & \\ 
 & KR 82  & 2.953E-10     & 3.371E-10     & 1.237E-09     & \\ 
 & KR 83  & 1.873E-10     & 2.072E-10     & 5.711E-10     & \\ 
 & KR 84  & 9.899E-10     & 1.210E-09     & 3.052E-09     & \\ 
 & KR 86  & 3.651E-10     & 1.122E-09     & 1.101E-09     & \\ 
 & RB 85  & 2.049E-10     & 2.940E-10     & 6.044E-10     & \\ 
 & RB 87  & 1.002E-10     & 3.256E-10     & 2.448E-10     & \\ 
 & SR 84  & 3.128E-12     & 3.178E-12     & 5.521E-12     & \\ 
 & SR 86  & 1.969E-10     & 2.211E-10     & 9.415E-10     & \\ 
 & SR 87  & 1.339E-10     & 1.602E-10     & 5.991E-10     & \\ 
 & SR 88  & 2.069E-09     & 3.066E-09     & 1.478E-08     & \\ 
 & Y  89  & 5.331E-10     & 8.913E-10     & 3.939E-09     & \\ 
 & ZR 90  & 6.066E-10     & 9.523E-10     & 5.357E-09     & \\ 
 & ZR 91  & 1.486E-10     & 2.631E-10     & 1.295E-09     & \\ 
 & ZR 92  & 2.345E-10     & 4.238E-10     & 2.195E-09     & \\ 
 & ZR 94  & 3.129E-10     & 5.252E-10     & 3.597E-09     & \\ 
 & ZR 96  & 2.033E-11     & 5.138E-11     & 4.345E-11     & \\ 
 & NB 93  & 8.497E-11     & 1.536E-10     & 8.004E-10     & \\ 
 & MO 92  & 9.878E-12     & 9.985E-12     & 1.801E-11     & \\ 
 & MO 94  & 7.332E-12     & 6.463E-12     & 5.877E-11     & \\ 
 & MO 95  & 4.251E-11     & 7.614E-11     & 4.140E-10     & \\ 
 & MO 96  & 7.389E-11     & 1.353E-10     & 8.411E-10     & \\ 
 & MO 97  & 2.742E-11     & 4.685E-11     & 2.926E-10     & \\ 
 & MO 98  & 8.934E-11     & 1.438E-10     & 1.064E-09     & \\ 
 & MO100  & 8.979E-12     & 1.416E-11     & 2.188E-11     & \\ 
 & RU 96  & 2.840E-12     & 2.881E-12     & 5.071E-12     & \\ 
 & RU 98  & 9.852E-13     & 9.929E-13     & 1.842E-12     & \\ 
 & RU 99  & 1.642E-11     & 2.355E-11     & 1.567E-10     & \\ 
 & RU100  & 4.150E-11     & 6.516E-11     & 5.352E-10     & \\ 
 & RU101  & 1.689E-11     & 2.264E-11     & 1.309E-10     & \\ 
 & RU102  & 6.610E-11     & 1.027E-10     & 7.512E-10     & \\ 
 & RU104  & 1.199E-11     & 1.577E-11     & 2.884E-11     & \\ 
 & RH103  & 1.901E-11     & 2.573E-11     & 1.488E-10     & \\ 
 & PD102  & 4.109E-13     & 4.176E-13     & 7.252E-13     & \\ 
 & PD104  & 3.067E-11     & 4.981E-11     & 4.119E-10     & \\ 
 & PD105  & 1.620E-11     & 2.180E-11     & 1.230E-10     & \\ 
 & PD106  & 4.321E-11     & 6.785E-11     & 5.040E-10     & \\ 
 & PD108  & 5.187E-11     & 8.314E-11     & 6.372E-10     & \\ 
 & PD110  & 7.296E-12     & 1.215E-11     & 2.169E-11     & \\ 
 & AG107  & 1.391E-11     & 1.887E-11     & 1.105E-10     & \\ 
 & AG109  & 1.885E-11     & 2.793E-11     & 1.913E-10     & \\ 
 & CD106  & 6.152E-13     & 6.248E-13     & 1.090E-12     & \\ 
 & CD108  & 5.041E-13     & 4.579E-13     & 3.640E-12     & \\ 
 & CD110  & 4.001E-11     & 6.539E-11     & 5.423E-10     & \\ 
 & CD111  & 1.822E-11     & 2.773E-11     & 1.945E-10     & \\ 
 & CD112  & 5.720E-11     & 9.336E-11     & 7.226E-10     & \\ 
 & CD113  & 1.961E-11     & 3.029E-11     & 2.216E-10     & \\ 
 & CD114  & 8.160E-11     & 1.351E-10     & 1.083E-09     & \\ 
 & CD116  & 7.844E-12     & 1.930E-11     & 2.486E-11     & \\ 
 & IN113  & 2.532E-13     & 2.565E-13     & 4.588E-13     & \\ 
 & IN115  & 1.898E-11     & 2.972E-11     & 2.205E-10     & \\ 
 & SN112  & 1.185E-12     & 1.202E-12     & 2.114E-12     & \\ 
 & SN114  & 8.284E-13     & 8.323E-13     & 1.578E-12     & \\ 
 & SN115  & 4.292E-13     & 4.320E-13     & 8.090E-13     & \\ 
 & SN116  & 1.050E-10     & 1.720E-10     & 1.436E-09     & \\ 
 & SN117  & 3.761E-11     & 6.094E-11     & 4.682E-10     & \\ 
 & SN118  & 1.616E-10     & 2.812E-10     & 2.137E-09     & \\ 
