galaxy		    class	object		eps_c	c_err	eps_n	n_err	eps_o	o_err	eps_fe	fe_err
NGC-5253	    Im-pec	A		    7.92	0.15	7.47	0.17	8.42	0.13	6.43	0.23
NGC-5253	    Im-pec	B		    NaN	    NaN	    7.33	0.18	8.37	0.13	6.23	0.27
NGC-5253	    Im-pec	C		    7.92	0.16	7.01	0.17	8.53	0.09	6.17	0.25
NGC-5253	    Im-pec	D		    NaN	    NaN	    6.82	0.07	8.31	0.07	6.06	0.15
