# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e
#
# 
name    r	x 	sigma	sigma_err t   t_err	[Z/H]   [Z/H]_err	IMF	IMF_err   [O/Fe]    [O/Fe]_err	[Mg/Fe]     [Mg/Fe]_err	[Si/Fe]     [Si/Fe]_err		[Ca/Fe]     [Ca/Fe]_err		[Ti/Fe]     [Ti/Fe]_err		[Fe/H]      [Fe/H]_err		[Na/Fe]     [Na/Fe]_err		[C/Fe]      [C/Fe]_err		[N/Fe]      [N/Fe]_err		
# (km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC3923     0.008	0.004	257 +2	9.9 +1.3	0.17 +0.03	2.5 +0.3	0.36 +0.03	0.20 +0.02	0.16 +0.04	-0.02 +0.04	0.03 +0.05	0.02 +0.02	0.53 +0.03	0.16 +0.02	0.19 +0.04	
NGC3923     0.023	0.022	254 +3	10.1 +1.3	0.14 +0.03	2.5 +0.3	0.36 +0.03	0.20 +0.03	0.15 +0.04	-0.01 +0.04	0.03 +0.05	0.01 +0.02	0.53 +0.03	0.17 +0.02	0.19 +0.04	
NGC3923     0.080	0.080	240 +3	9.8 +1.4	0.05 +0.05	2.4 +0.3	0.38 +0.03	0.19 +0.03	0.14 +0.05	0.01 +0.05	-0.03 +0.06	-0.00 +0.02	0.51 +0.04	0.18 +0.03	0.21 +0.05	
NGC3923     0.188	0.188	216 +2	10.0 +0.6	-0.10 +0.02	2.2 +0.2	0.43 +0.03	0.17 +0.04	0.15 +0.04	0.00 +0.05	-0.04 +0.06	-0.02 +0.03	0.39 +0.07	0.20 +0.03	0.24 +0.06	
NGC3923     0.375	0.375	212 +4	9.2 +1.1	-0.22 +0.02	2.0 +0.2	0.47 +0.03	0.17 +0.04	0.11 +0.05	-0.02 +0.05	-0.07 +0.06	-0.04 +0.03	0.37 +0.04	0.22 +0.03	0.23 +0.08	
NGC3923     0.625	0.625	205 +5	8.1 +1.6	-0.29 +0.03	2.1 +0.2	0.50 +0.03	0.18 +0.05	0.06 +0.07	-0.02 +0.05	-0.08 +0.06	-0.07 +0.03	0.36 +0.04	0.23 +0.03	0.30 +0.10	
NGC3923     0.875	0.875	197 +5	7.8 +1.8	-0.35 +0.04	1.8 +0.3	0.53 +0.03	0.21 +0.05	0.04 +0.07	-0.02 +0.05	-0.11 +0.05	-0.10 +0.02	0.35 +0.04	0.26 +0.03	0.34 +0.17	
NGC4697     0.010	0.005	165 +2	9.2 +0.7	0.18 +0.02	2.1 +0.3	0.36 +0.04	0.22 +0.04	0.09 +0.04	0.06 +0.03	0.07 +0.04	-0.05 +0.03	0.36 +0.04	0.22 +0.03	0.11 +0.06	
NGC4697     0.024	0.022	146 +2	8.3 +0.6	0.17 +0.02	2.4 +0.2	0.31 +0.04	0.21 +0.04	0.07 +0.04	0.05 +0.03	0.07 +0.04	-0.04 +0.03	0.29 +0.04	0.20 +0.03	0.09 +0.05	
NGC4697     0.043	0.042	150 +2	7.9 +0.5	0.14 +0.02	2.6 +0.2	0.28 +0.04	0.20 +0.04	0.05 +0.04	0.03 +0.04	0.06 +0.04	-0.04 +0.03	0.23 +0.04	0.18 +0.03	0.01 +0.07	
NGC4697     0.059	0.058	149 +2	7.5 +0.5	0.13 +0.02	2.7 +0.2	0.26 +0.05	0.19 +0.04	0.03 +0.04	0.03 +0.04	0.05 +0.04	-0.04 +0.03	0.20 +0.05	0.18 +0.03	0.01 +0.06	
NGC4697     0.084	0.083	152 +2	6.8 +0.5	0.10 +0.03	3.0 +0.3	0.18 +0.06	0.18 +0.05	0.02 +0.04	0.02 +0.04	0.04 +0.05	-0.03 +0.03	0.16 +0.06	0.15 +0.03	-0.06 +0.07	
NGC4697     0.150	0.150	156 +3	6.7 +0.8	0.04 +0.05	2.8 +0.3	0.20 +0.07	0.18 +0.06	-0.00 +0.05	0.01 +0.04	0.03 +0.06	-0.02 +0.03	0.09 +0.09	0.14 +0.04	-0.08 +0.08	
NGC4697     0.267	0.267	169 +3	7.2 +0.6	-0.10 +0.03	2.8 +0.3	0.18 +0.06	0.13 +0.05	-0.01 +0.05	-0.00 +0.03	-0.01 +0.06	0.00 +0.02	-0.00 +0.07	0.12 +0.03	-0.20 +0.07	
NGC4697     0.417	0.417	168 +3	7.3 +0.5	-0.14 +0.02	2.5 +0.2	0.24 +0.04	0.11 +0.04	-0.04 +0.04	-0.06 +0.03	-0.11 +0.05	0.03 +0.02	-0.09 +0.05	0.10 +0.02	-0.15 +0.08	
NGC4697     0.625	0.625	163 +3	7.9 +0.9	-0.25 +0.02	1.8 +0.3	0.27 +0.04	0.12 +0.03	-0.09 +0.04	-0.09 +0.03	-0.13 +0.05	0.01 +0.02	0.04 +0.04	0.10 +0.02	-0.10 +0.16	
NGC4697     0.875	0.875	156 +5	8.2 +0.8	-0.33 +0.02	2.2 +0.2	0.27 +0.05	0.08 +0.03	-0.05 +0.05	-0.04 +0.03	-0.19 +0.04	-0.02 +0.02	-0.01 +0.05	0.11 +0.02	0.03 +0.15	
NGC5061     0.017	0.005	206 +2	3.0 +0.2	0.28 +0.02	3.3 +0.1	0.28 +0.04	0.21 +0.03	0.15 +0.04	-0.01 +0.03	0.28 +0.04	-0.08 +0.03	0.65 +0.03	0.26 +0.03	0.31 +0.04	
NGC5061     0.027	0.022	184 +2	3.0 +0.2	0.27 +0.02	3.3 +0.1	0.21 +0.05	0.20 +0.04	0.11 +0.04	-0.02 +0.04	0.24 +0.04	-0.06 +0.03	0.60 +0.04	0.23 +0.04	0.23 +0.05	
NGC5061     0.053	0.050	179 +2	3.0 +0.2	0.22 +0.02	3.4 +0.1	0.19 +0.05	0.21 +0.04	0.09 +0.04	-0.02 +0.04	0.19 +0.04	-0.07 +0.03	0.38 +0.04	0.21 +0.03	0.09 +0.07	
