,MG_H,MG_FE,C_MG,N_MG,C_N
409713,-0.20974092464182456,-0.11939188893349112,0.4768862921812208,0.45108013771519895,0.02580615446602183
285818,-0.45775669674985836,0.14049688611271532,0.6613527027509051,0.0037177857384787516,0.6576349170124263
88080,-0.30712104838156185,0.1365472744241737,0.5876438610571096,0.11734481007662625,0.4702990509804834
276945,-0.3118998677641056,-0.04105272336493626,0.6087417957499999,0.3432166488292765,0.2655251469207234
268499,-0.2282704548387755,-0.09324282185401653,0.5455467322527758,0.4420664315849461,0.10348030066782982
493708,-0.17991043320699937,-0.14194444560620206,0.4103622772950326,0.46726355731298397,-0.056901280017951306
256900,-0.23415605734160957,-0.07443322238188915,0.5419045776695877,0.42374020953082714,0.11816436813876047
52835,-0.3870546924871402,0.2083709248550959,0.4198147764591521,-0.06398909687093601,0.4838038733300881
361315,-0.22130217623248266,-0.102175964892141,0.5116999633315222,0.4317480815445429,0.07995188178697935
31677,-0.5501072420238087,0.28575209744561236,0.21103378889760227,-0.1882082231355482,0.39924201203315046
393337,-0.28627821705951867,-0.11935922737611696,0.558832008962201,0.4337224482007518,0.12510956076144913
427365,-0.3371875383273816,-0.11213985335463428,0.6161430334676292,0.3918771258637253,0.22426590760390386
250497,-0.22860153921542967,-0.06928385855075506,0.5421764575926792,0.42393356828767803,0.11824288930500113
498938,-0.275691755780322,-0.1604822475344132,0.5346348919849798,0.46625573460572306,0.06837915737925676
396175,-0.375518667692408,-0.10371730559650238,0.6546196427520607,0.3902588832453429,0.2643607595067179
373398,-0.41620889498312497,-0.07591737552241656,0.7383016335003585,0.3309351082266096,0.40736652527374884
205348,-0.3253286344817115,0.05963027466242399,0.6205866520538494,0.222523276585805,0.39806337546804443
434146,-0.29487105576102646,-0.12194795536564687,0.5748226397100731,0.4163528409433545,0.15846979876671863
411734,-0.27624933733770457,-0.1294177608440281,0.5534977359731619,0.4420723754017741,0.11142536057138785
220546,-0.31962914061099934,0.040463283043863985,0.6104757139160385,0.24537790310264868,0.3650978108133898
204955,-0.3290603390135647,0.03804829916216085,0.6703783139728767,0.2151180802978236,0.4552602336750531
344116,-0.23775740769999626,-0.11105714225556187,0.5260927611805271,0.44521483908510323,0.08087792209542377
325395,-0.40072208346885146,-0.023379246161804368,0.7333257047915158,0.28957029839737564,0.4437554063941402
414990,-0.3979851867590038,-0.07853656026885059,0.6880317830494145,0.34897393707702506,0.3390578459723894
294515,-0.2511081979340164,-0.1014017203595701,0.5584325074540109,0.44597299374040505,0.1124595137136058
409331,-0.2597473475539737,-0.13020188535660185,0.5361858804595925,0.4513843650734268,0.0848015153861657
400538,-0.2897429423966028,-0.1259133734885452,0.5630994545156021,0.4392414922551956,0.12385796226040652
62530,-0.49719699608018775,0.30501529027623875,0.27184693292388296,-0.23131276086161834,0.5031596937855013
340939,-0.2923052344521934,-0.08850240659827802,0.5823127605467665,0.40335482268665906,0.17895793786010744
424165,-0.33843451521553214,-0.11171646718777781,0.6171028760588718,0.39170396999558277,0.22539890606328902
515339,-0.27307582791998447,-0.1674992314162279,0.5317446592112616,0.4723295811641566,0.059415078047105024
339023,-0.4526914224844567,0.08858747839695946,0.705481634337338,0.07191043520783796,0.6335711991295001
396145,-0.30321454569973844,-0.1323567903007527,0.5939844378790603,0.437517981222434,0.15646645665662626
349326,-0.2636567185668412,-0.11373614600291088,0.5508565416964231,0.43949650426175946,0.11136003743466358
473345,-0.29674139892551143,-0.15321914803912462,0.554601620472561,0.4577789871688663,0.09682263330369473
304161,-0.34977877226259857,-0.08208436746714837,0.6644174001018426,0.3747096872746723,0.28970771282717034
