f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
2MASS 19085844+4235134 ,-0.08 ,0.04 ,-0.11 ,0.09 ,-0.17 ,0.09 ,-0.07 ,0.07 ,-0.05 ,0.05 ,,,0.02 ,0.06 ,0.01 ,0.05 ,287.2435239 ,42.5870520 ,86.726 ,-279.416 ,268.906 ,397.37 ,N/A ,,,,,,,5183.3 ,,,,
HIP 98355 ,-0.52 ,0.14 ,-0.43 ,0.04 ,-0.22 ,0.15 ,-0.39 ,0.06 ,-0.49 ,0.08 ,-0.51 ,0.01 ,-0.49 ,0.09 ,-0.50 ,0.09 ,299.7439217 ,-46.0880446 ,17.965 ,-31.440 ,-37.612 ,52.21 ,thin ,F8Vm-2 ,7.47 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6231.5 ,4.27 ,1.21 ,1.29 ,
HIP 57 ,0.00 ,0.04 ,0.05 ,0.14 ,-0.10 ,0.04 ,0.01 ,0.08 ,0.04 ,0.08 ,-0.04 ,0.27 ,0.09 ,0.04 ,0.07 ,0.03 ,0.1680009 ,-69.6759652 ,10.368 ,0.030 ,-27.992 ,29.85 ,thin ,K1V ,8.27 ,0.863 ,22.90 ,-23.60 ,-19.20 ,5176.5 ,4.47 ,0.88 ,0.81 ,
HIP 65595 ,-0.01 ,0.12 ,-0.13 ,0.10 ,0.07 ,0.22 ,0.03 ,0.01 ,-0.01 ,0.06 ,,,-0.04 ,0.08 ,-0.04 ,0.05 ,201.7366812 ,78.6438701 ,-16.024 ,-6.389 ,85.895 ,87.61 ,thin ,G3IIIbFe-1CH1 ,5.74 ,0.769 ,-57.60 ,-20.00 ,6.60 ,5528.5 ,3.42 ,,6.68 ,
HIP 98365 ,-0.08 ,0.10 ,-0.25 ,0.09 ,-0.12 ,0.09 ,-0.18 ,0.07 ,-0.16 ,0.05 ,,,-0.13 ,0.06 ,-0.23 ,0.05 ,299.7762985 ,70.3721678 ,39.352 ,-68.779 ,222.193 ,235.90 ,N/A ,G5 ,7.95 ,0.828 ,,,,5214.5 ,,,8.01 ,
HIP 32831 ,0.34 ,0.08 ,,,,,0.17 ,0.07 ,0.20 ,0.05 ,,,0.33 ,0.06 ,0.26 ,0.05 ,102.6623786 ,5.6628704 ,-77.499 ,344.946 ,35.057 ,355.28 ,N/A ,G7III ,8.61 ,0.728 ,,,,4938.8 ,3.20 ,,9.75 ,
HIP 98367 ,-0.25 ,0.04 ,-0.37 ,0.09 ,-0.12 ,0.09 ,-0.16 ,0.07 ,-0.16 ,0.05 ,,,-0.29 ,0.06 ,-0.26 ,0.05 ,299.7795591 ,50.6630790 ,74.192 ,-129.653 ,182.267 ,235.66 ,thin ,K0 ,7.12 ,1.200 ,-2.90 ,-3.50 ,13.80 ,4593.4 ,,,17.75 ,
2MASS 19213888+4453575 ,0.24 ,0.04 ,0.18 ,0.09 ,0.03 ,0.09 ,0.21 ,0.07 ,0.20 ,0.05 ,,,0.24 ,0.06 ,0.21 ,0.05 ,290.4120331 ,44.8993228 ,186.207 ,-500.374 ,532.026 ,753.72 ,N/A ,,,,,,,5626.9 ,4.25 ,1.04 ,1.32 ,
HIP 65602 ,-0.20 ,0.06 ,0.04 ,0.27 ,,,-0.15 ,0.04 ,-0.21 ,0.02 ,,,-0.09 ,0.06 ,0.00 ,0.12 ,201.7621060 ,-24.2904356 ,-24.896 ,-9.939 ,-12.098 ,29.41 ,thin ,K2+V ,8.72 ,0.911 ,-41.40 ,-25.60 ,-7.90 ,5033.3 ,4.39 ,0.82 ,0.74 ,
HIP 80 ,-0.52 ,0.06 ,-0.35 ,0.04 ,-0.11 ,0.16 ,-0.26 ,0.06 ,-0.40 ,0.06 ,-0.38 ,0.08 ,-0.39 ,0.07 ,-0.38 ,0.09 ,0.2428309 ,-11.8237394 ,70.873 ,0.300 ,-14.837 ,72.41 ,thick ,G2V ,8.40 ,0.566 ,-111.50 ,-91.50 ,-24.80 ,5846.0 ,4.08 ,1.07 ,1.33 ,
HIP 32851 ,-0.39 ,0.11 ,-0.24 ,0.06 ,-0.22 ,0.20 ,-0.25 ,0.11 ,-0.34 ,0.10 ,-0.43 ,0.09 ,-0.34 ,0.05 ,-0.25 ,0.25 ,102.7076291 ,-0.5408799 ,-6.529 ,28.952 ,-0.280 ,29.68 ,thin ,F3V ,5.78 ,0.396 ,24.40 ,-13.70 ,-9.40 ,6585.0 ,4.22 ,1.38 ,1.43 ,
2MASS 23342787-0134482 ,-0.01 ,0.10 ,,,,,-0.14 ,0.07 ,-0.13 ,0.05 ,,,-0.03 ,0.06 ,0.00 ,0.05 ,353.6161729 ,-1.5800306 ,346.202 ,-38.734 ,-9.609 ,348.49 ,N/A ,,,,,,,5924.0 ,4.41 ,1.16 ,1.11 ,
HIP 65626 ,-0.18 ,0.02 ,-0.23 ,0.09 ,,,-0.14 ,0.07 ,-0.17 ,0.05 ,,,-0.10 ,0.06 ,0.02 ,0.05 ,201.8253555 ,-39.9528100 ,-31.774 ,-12.725 ,-28.672 ,44.65 ,N/A ,K3V ,9.64 ,0.936 ,,,,4927.0 ,4.36 ,0.80 ,0.74 ,
HIP 98401 ,-0.58 ,0.04 ,,,,,-0.25 ,0.07 ,-0.40 ,0.05 ,,,-0.35 ,0.06 ,-0.23 ,0.05 ,299.9026125 ,76.4813934 ,18.740 ,-32.587 ,156.355 ,160.81 ,thin ,M2+IIIab ,6.20 ,1.610 ,67.90 ,-45.20 ,-25.50 ,4004.3 ,,,39.09 ,
HIP 32868 ,0.11 ,0.04 ,0.06 ,0.09 ,0.02 ,0.09 ,0.08 ,0.07 ,0.11 ,0.05 ,-0.05 ,0.09 ,0.06 ,0.06 ,0.09 ,0.05 ,102.7434185 ,-17.8544066 ,-13.454 ,59.491 ,-19.647 ,64.08 ,thin ,G2V ,8.15 ,0.632 ,-74.50 ,-50.30 ,13.40 ,5865.5 ,4.17 ,1.09 ,1.43 ,
HIP 65636 ,-0.02 ,0.20 ,-0.17 ,0.09 ,,,-0.06 ,0.04 ,-0.08 ,0.07 ,,,0.05 ,0.06 ,0.24 ,0.13 ,201.8538675 ,-21.6553172 ,-33.755 ,-13.538 ,-14.440 ,39.13 ,N/A ,K4Vk ,9.93 ,1.092 ,,,,4680.8 ,4.53 ,0.73 ,0.71 ,
HIP 65639 ,0.26 ,0.04 ,-0.03 ,0.09 ,0.10 ,0.09 ,0.38 ,0.07 ,0.51 ,0.05 ,1.13 ,0.09 ,0.28 ,0.06 ,0.27 ,0.05 ,201.8631835 ,-15.9735793 ,-76.608 ,-30.739 ,-23.628 ,85.86 ,thin ,K0III-IIIbCN1.5CH0.5 ,4.76 ,1.096 ,-48.60 ,-17.90 ,3.30 ,4676.5 ,2.37 ,,13.06 ,
2MASS 19121853+4052397 ,-0.16 ,0.14 ,0.30 ,0.24 ,,,-0.08 ,0.12 ,0.08 ,0.05 ,,,-0.06 ,0.12 ,-0.22 ,0.05 ,288.0772276 ,40.8777030 ,66.515 ,-203.776 ,185.536 ,283.50 ,N/A ,,,,,,,6652.0 ,3.90 ,1.50 ,1.89 ,
HIP 65641 ,0.05 ,0.02 ,0.09 ,0.08 ,-0.03 ,0.10 ,0.04 ,0.07 ,0.02 ,0.05 ,,,0.02 ,0.06 ,0.02 ,0.05 ,201.8650553 ,44.7070317 ,-33.744 ,-13.541 ,35.990 ,51.16 ,thin ,G5 ,8.42 ,0.692 ,6.40 ,22.90 ,-6.90 ,5713.0 ,4.41 ,1.02 ,1.09 ,
HIP 32874 ,-0.03 ,0.04 ,-0.02 ,0.09 ,0.02 ,0.09 ,-0.02 ,0.07 ,-0.04 ,0.01 ,,,-0.01 ,0.06 ,0.01 ,0.04 ,102.7517891 ,25.7603589 ,-6.795 ,30.024 ,14.855 ,34.18 ,thin ,F9V ,6.98 ,0.600 ,-3.80 ,-30.80 ,-10.40 ,5990.0 ,4.33 ,1.09 ,1.19 ,
BD+47 02846 ,0.27 ,0.17 ,0.01 ,0.04 ,0.03 ,0.25 ,0.16 ,0.16 ,0.26 ,0.06 ,-0.07 ,0.09 ,0.36 ,0.10 ,0.36 ,0.08 ,292.2473078 ,47.9695047 ,86.459 ,-211.362 ,253.350 ,341.08 ,N/A ,,,,,,,6423.8 ,4.00 ,1.35 ,1.99 ,
HIP 98413 ,-0.34 ,0.06 ,-0.36 ,0.09 ,,,-0.35 ,0.08 ,-0.33 ,0.02 ,,,-0.25 ,0.10 ,-0.12 ,0.01 ,299.9413724 ,-20.2104094 ,17.096 ,-29.681 ,-12.610 ,36.50 ,N/A ,K2+V ,9.20 ,0.920 ,,,,4924.4 ,4.48 ,0.80 ,0.72 ,
HD 180461 ,0.02 ,0.04 ,,,,,-0.02 ,0.07 ,0.09 ,0.05 ,,,-0.01 ,0.06 ,-0.06 ,0.05 ,289.2971318 ,-16.0522848 ,96.911 ,-276.779 ,-84.379 ,305.15 ,N/A ,,,,,,,4659.0 ,,,11.86 ,
HIP 98416 ,-0.09 ,0.16 ,,,-0.08 ,0.08 ,-0.03 ,0.13 ,-0.09 ,0.08 ,0.00 ,0.09 ,0.00 ,0.10 ,-0.09 ,0.10 ,299.9470012 ,-9.9582318 ,10.910 ,-18.938 ,-3.837 ,22.19 ,thin ,F9V ,5.87 ,0.598 ,53.10 ,-26.90 ,-1.80 ,5931.5 ,4.24 ,,,
HIP 98419 ,-0.28 ,0.04 ,-0.27 ,0.09 ,0.07 ,0.09 ,-0.03 ,0.07 ,-0.19 ,0.05 ,,,-0.11 ,0.06 ,-0.17 ,0.05 ,299.9561358 ,63.7724335 ,65.159 ,-113.058 ,264.871 ,295.27 ,thin ,G5 ,7.89 ,1.002 ,87.00 ,-64.40 ,19.90 ,4970.0 ,,,,
2MASS 11282927+0141264 ,-0.08 ,0.04 ,-0.07 ,0.09 ,-0.07 ,0.09 ,-0.07 ,0.07 ,-0.06 ,0.05 ,,,-0.09 ,0.06 ,-0.13 ,0.05 ,172.1219600 ,1.6906319 ,-269.672 ,37.315 ,8.035 ,272.36 ,N/A ,,,,,,,6254.2 ,4.47 ,0.97 ,0.97 ,
HIP 32892 ,0.28 ,0.03 ,0.39 ,0.17 ,0.19 ,0.09 ,0.22 ,0.07 ,0.23 ,0.05 ,,,0.27 ,0.06 ,0.20 ,0.05 ,102.7992605 ,40.4953370 ,-16.021 ,70.523 ,61.757 ,95.10 ,thin ,G0... ,8.94 ,0.711 ,-21.50 ,8.60 ,8.40 ,5730.7 ,4.12 ,1.03 ,1.50 ,
2MASS 19243554+4040098 ,0.19 ,0.04 ,0.17 ,0.09 ,0.14 ,0.09 ,0.14 ,0.07 ,0.15 ,0.05 ,,,0.17 ,0.06 ,0.15 ,0.05 ,291.1480962 ,40.6693916 ,103.127 ,-266.592 ,245.599 ,376.86 ,N/A ,,,,,,,5370.0 ,4.43 ,0.93 ,0.96 ,
HIP 98431 ,-0.27 ,0.06 ,0.27 ,0.09 ,0.20 ,0.09 ,-0.22 ,0.07 ,-0.29 ,0.05 ,,,-0.12 ,0.06 ,-0.26 ,0.08 ,299.9929056 ,-48.9753277 ,24.192 ,-41.914 ,-55.624 ,73.73 ,thin ,F8/G0(III)W(P) ,8.55 ,0.532 ,16.50 ,2.30 ,10.50 ,6101.9 ,4.50 ,1.15 ,1.23 ,
