f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
2MASS 07204044+3708263 ,0.12 ,0.04 ,-0.07 ,0.09 ,0.14 ,0.09 ,0.02 ,0.07 ,0.07 ,0.05 ,,,0.17 ,0.06 ,0.06 ,0.05 ,110.1685686 ,37.1406508 ,-125.111 ,340.617 ,274.839 ,455.20 ,N/A ,,,,,,,6340.5 ,4.27 ,1.19 ,1.30 ,
2MASS 18434227+4405165 ,-0.04 ,0.04 ,0.02 ,0.09 ,-0.03 ,0.09 ,-0.03 ,0.07 ,-0.08 ,0.05 ,,,0.02 ,0.06 ,-0.02 ,0.05 ,280.9261426 ,44.0879101 ,41.632 ,-215.661 ,212.758 ,305.79 ,N/A ,,,,,,,4897.3 ,4.56 ,0.79 ,0.74 ,
HIP 2787 ,-0.07 ,0.07 ,-0.09 ,0.12 ,-0.12 ,0.04 ,-0.04 ,0.09 ,-0.10 ,0.03 ,-0.21 ,0.09 ,0.01 ,0.02 ,-0.07 ,0.07 ,8.8868059 ,-0.5056108 ,53.814 ,8.414 ,-0.481 ,54.47 ,thin ,F5V ,5.94 ,0.444 ,-25.90 ,-26.60 ,-19.60 ,6471.0 ,3.92 ,1.33 ,2.66 ,
HIP 2790 ,-0.06 ,0.02 ,0.15 ,0.09 ,,,,,-0.03 ,0.05 ,,,-0.09 ,0.06 ,0.02 ,0.04 ,8.8927166 ,-39.7462935 ,21.855 ,3.420 ,-18.395 ,28.77 ,thin ,G8V ,7.45 ,0.726 ,-4.30 ,-25.40 ,15.50 ,5450.7 ,4.49 ,0.96 ,1.02 ,
HD 142751 ,-0.05 ,0.01 ,,,,,-0.19 ,0.07 ,0.02 ,0.05 ,,,-0.02 ,0.06 ,0.00 ,0.05 ,239.3255081 ,-30.7851574 ,-173.531 ,-292.557 ,-202.651 ,395.94 ,N/A ,,,,,,,4499.9 ,,,19.57 ,
HIP 68333 ,-0.26 ,0.04 ,,,,,-0.09 ,0.07 ,-0.12 ,0.05 ,,,-0.15 ,0.06 ,-0.11 ,0.05 ,209.8228500 ,-50.3696478 ,-58.562 ,-33.570 ,-81.508 ,105.83 ,thin ,G8/K0III ,5.92 ,0.957 ,6.60 ,10.10 ,-12.80 ,5004.7 ,2.62 ,,11.05 ,
HIP 101101 ,0.24 ,0.02 ,0.15 ,0.01 ,0.20 ,0.09 ,0.39 ,0.01 ,0.42 ,0.04 ,1.13 ,0.09 ,0.14 ,0.14 ,0.21 ,0.07 ,307.4125002 ,-2.8855282 ,37.165 ,-48.588 ,-3.083 ,61.25 ,thin ,K1/2III ,4.91 ,1.160 ,-24.40 ,-16.70 ,-10.50 ,4630.0 ,2.48 ,,10.79 ,
2MASS 19450665+4653594 ,-0.15 ,0.04 ,-0.15 ,0.09 ,-0.01 ,0.09 ,-0.10 ,0.07 ,-0.15 ,0.05 ,,,-0.06 ,0.06 ,-0.06 ,0.05 ,296.2777012 ,46.8998471 ,340.809 ,-690.251 ,822.626 ,1126.64 ,N/A ,,,,,,,5369.3 ,3.94 ,0.95 ,1.82 ,
2MASS 19044702+3903207 ,0.48 ,0.04 ,0.09 ,0.09 ,0.53 ,0.09 ,0.13 ,0.07 ,0.36 ,0.05 ,,,-0.04 ,0.06 ,0.28 ,0.05 ,286.1959558 ,39.0557393 ,90.028 ,-309.959 ,261.893 ,415.65 ,N/A ,,,,,,,5106.7 ,4.42 ,1.07 ,1.05 ,
HIP 68337 ,0.08 ,0.04 ,,,,,-0.02 ,0.07 ,0.17 ,0.05 ,,,,,0.07 ,0.05 ,209.8308463 ,22.8697511 ,-19.807 ,-11.358 ,9.630 ,24.78 ,thin ,K5V ,9.05 ,1.160 ,-29.50 ,-16.50 ,-50.20 ,4468.9 ,4.67 ,0.72 ,0.69 ,
HIP 101124 ,-0.36 ,0.04 ,-0.47 ,0.09 ,-0.09 ,0.09 ,-0.31 ,0.07 ,-0.36 ,0.05 ,,,-0.22 ,0.06 ,-0.34 ,0.05 ,307.4799309 ,53.7044355 ,131.261 ,-171.187 ,293.713 ,364.42 ,thick ,K0 ,7.91 ,0.960 ,-19.40 ,5.80 ,-85.70 ,5018.0 ,,,11.89 ,
HIP 101134 ,-0.17 ,0.04 ,,,,,-0.15 ,0.07 ,-0.17 ,0.05 ,,,-0.16 ,0.06 ,-0.24 ,0.05 ,307.5029919 ,72.5317011 ,39.428 ,-51.378 ,205.800 ,215.75 ,thin ,K4III ,6.23 ,1.353 ,30.90 ,-31.00 ,-27.30 ,4625.8 ,,,26.62 ,
HIP 2832 ,-0.18 ,0.08 ,-0.11 ,0.09 ,,,-0.07 ,0.08 ,-0.08 ,0.05 ,-0.07 ,0.09 ,-0.10 ,0.08 ,-0.07 ,0.10 ,8.9783405 ,13.2070699 ,36.119 ,5.707 ,8.581 ,37.56 ,thin ,F7V ,6.32 ,0.517 ,40.60 ,-21.50 ,-1.20 ,6202.4 ,4.05 ,1.21 ,1.71 ,
HIP 68369 ,0.01 ,0.04 ,-0.24 ,0.09 ,-0.19 ,0.09 ,-0.06 ,0.07 ,-0.17 ,0.05 ,,,0.01 ,0.06 ,-0.04 ,0.05 ,209.9230007 ,42.0498063 ,-64.892 ,-37.349 ,67.534 ,100.83 ,thin ,K0 ,7.80 ,0.916 ,-7.90 ,7.70 ,-13.10 ,5096.0 ,3.36 ,,4.11 ,
HIP 101136 ,-0.07 ,0.10 ,0.01 ,0.07 ,0.04 ,0.08 ,-0.14 ,0.06 ,-0.08 ,0.02 ,0.01 ,0.08 ,-0.11 ,0.09 ,-0.14 ,0.13 ,307.5067561 ,-4.4376500 ,33.459 ,-43.595 ,-4.265 ,55.12 ,thin ,F7/8V ,7.63 ,0.551 ,-1.50 ,-25.10 ,-10.70 ,6120.5 ,4.30 ,1.16 ,1.26 ,
HIP 68380 ,0.15 ,0.04 ,,,,,0.71 ,0.07 ,0.16 ,0.05 ,0.19 ,0.09 ,0.14 ,0.06 ,0.42 ,0.05 ,209.9553149 ,-3.5498016 ,-66.724 ,-38.454 ,-4.777 ,77.16 ,thin ,F6V ,6.36 ,0.486 ,-0.90 ,-19.40 ,-13.40 ,6331.0 ,3.87 ,1.29 ,3.24 ,
HD 189295 ,-0.18 ,0.10 ,-0.36 ,0.09 ,-0.32 ,0.09 ,-0.24 ,0.07 ,-0.28 ,0.05 ,,,-0.14 ,0.06 ,-0.31 ,0.05 ,298.6570173 ,67.5097176 ,23.278 ,-42.595 ,117.244 ,126.89 ,N/A ,,,,,,,5197.5 ,,,4.19 ,
HIP 68382 ,0.06 ,0.02 ,0.07 ,0.09 ,0.08 ,0.09 ,0.00 ,0.07 ,0.10 ,0.05 ,0.12 ,0.09 ,0.12 ,0.06 ,0.12 ,0.05 ,209.9617105 ,73.3981590 ,-17.934 ,-10.338 ,69.430 ,72.45 ,N/A ,G5 ,7.80 ,0.687 ,,,,5732.2 ,4.23 ,1.01 ,2.02 ,
HIP 2848 ,0.25 ,0.04 ,0.05 ,0.09 ,,,0.27 ,0.07 ,0.24 ,0.05 ,,,0.15 ,0.06 ,0.25 ,0.05 ,9.0183744 ,-49.1281338 ,28.514 ,4.526 ,-33.362 ,44.12 ,thin ,G8IV ,8.40 ,0.780 ,-57.40 ,-62.10 ,9.60 ,5418.0 ,4.45 ,0.96 ,0.96 ,
HIP 101163 ,-0.07 ,0.04 ,0.00 ,0.09 ,-0.07 ,0.09 ,-0.15 ,0.07 ,-0.12 ,0.05 ,,,-0.02 ,0.06 ,-0.08 ,0.05 ,307.5782255 ,54.6809834 ,20.177 ,-26.222 ,46.697 ,57.23 ,thin ,F5 ,7.45 ,0.534 ,-37.60 ,-21.10 ,-8.80 ,6223.3 ,4.39 ,1.35 ,1.23 ,
HIP 101184 ,-0.19 ,0.15 ,-0.29 ,0.04 ,-0.26 ,0.06 ,-0.28 ,0.17 ,-0.32 ,0.12 ,,,-0.18 ,0.12 ,-0.28 ,0.17 ,307.6438757 ,58.2871896 ,38.221 ,-49.552 ,101.275 ,119.05 ,thin ,K0 ,7.63 ,0.944 ,62.80 ,-1.10 ,-26.50 ,4984.0 ,3.26 ,,5.26 ,
HIP 35651 ,-0.44 ,0.02 ,-0.44 ,0.09 ,,,-0.37 ,0.07 ,-0.47 ,0.05 ,,,-0.27 ,0.06 ,0.02 ,0.05 ,110.3445159 ,-12.6372375 ,-11.778 ,31.766 ,-7.596 ,34.72 ,thin ,K4-V(k) ,9.95 ,1.037 ,-83.10 ,23.60 ,16.70 ,4792.4 ,4.51 ,0.76 ,0.62 ,
HIP 2894 ,-0.01 ,0.02 ,-0.03 ,0.09 ,-0.12 ,0.09 ,,,-0.08 ,0.05 ,-0.09 ,0.09 ,0.02 ,0.06 ,0.01 ,0.05 ,9.1807152 ,48.8282847 ,36.933 ,5.969 ,42.778 ,56.83 ,N/A ,G0 ,8.64 ,0.648 ,,,,5663.7 ,4.49 ,1.04 ,0.92 ,
HIP 2902 ,0.22 ,0.02 ,0.20 ,0.12 ,0.08 ,0.04 ,0.13 ,0.07 ,0.09 ,0.05 ,,,0.19 ,0.06 ,0.14 ,0.05 ,9.1950654 ,-24.5009309 ,63.669 ,10.306 ,-29.395 ,70.88 ,thin ,G2V ,7.94 ,0.824 ,13.30 ,-16.10 ,-6.60 ,5311.5 ,3.81 ,0.92 ,2.22 ,
2MASS 19505156+4106153 ,0.11 ,0.04 ,0.06 ,0.09 ,0.02 ,0.09 ,0.02 ,0.07 ,0.03 ,0.05 ,,,0.14 ,0.06 ,0.06 ,0.05 ,297.7148748 ,41.1042829 ,174.732 ,-332.606 ,327.802 ,498.61 ,N/A ,,,,,,,5445.9 ,4.52 ,1.06 ,1.03 ,
HIP 2909 ,-0.18 ,0.09 ,0.21 ,0.09 ,0.10 ,0.12 ,0.01 ,0.10 ,-0.05 ,0.01 ,,,-0.12 ,0.06 ,-0.12 ,0.08 ,9.2136444 ,-24.4966203 ,52.691 ,8.547 ,-24.323 ,58.66 ,thin ,G8/K0V ,8.17 ,0.636 ,27.10 ,-58.40 ,-29.70 ,5724.0 ,4.13 ,1.03 ,1.44 ,
HIP 101221 ,0.06 ,0.04 ,,,,,-0.33 ,0.07 ,-0.08 ,0.05 ,,,-0.18 ,0.06 ,-0.16 ,0.05 ,307.7679835 ,-15.0561775 ,68.832 ,-88.840 ,-30.232 ,116.38 ,thin ,K1/2III+F ,6.10 ,0.797 ,53.00 ,-7.00 ,-11.10 ,5255.0 ,2.40 ,,,
HIP 68461 ,0.36 ,0.04 ,0.40 ,0.10 ,0.15 ,0.08 ,0.31 ,0.07 ,0.31 ,0.05 ,,,0.30 ,0.06 ,0.27 ,0.05 ,210.2328836 ,39.2392040 ,-55.875 ,-32.563 ,52.819 ,83.50 ,thin ,G5III ,8.93 ,0.703 ,8.40 ,7.30 ,12.90 ,5723.1 ,4.20 ,1.02 ,1.36 ,
HIP 2926 ,0.36 ,0.02 ,0.12 ,0.02 ,0.22 ,0.03 ,0.53 ,0.07 ,0.53 ,0.05 ,1.26 ,0.09 ,0.29 ,0.12 ,0.34 ,0.07 ,9.2799574 ,24.0141392 ,101.165 ,16.530 ,45.669 ,112.22 ,thin ,K2III ,6.18 ,1.170 ,17.10 ,-7.40 ,-19.00 ,4703.2 ,2.48 ,,11.14 ,
2MASS 19122903+4758000 ,0.00 ,0.04 ,-0.14 ,0.09 ,-0.24 ,0.09 ,-0.06 ,0.07 ,-0.08 ,0.05 ,,,0.03 ,0.06 ,-0.03 ,0.05 ,288.1209218 ,47.9666890 ,135.789 ,-414.935 ,484.314 ,652.05 ,N/A ,,,,,,,5084.4 ,4.60 ,0.89 ,0.80 ,
HIP 68464 ,-1.74 ,0.18 ,-0.89 ,0.74 ,-0.50 ,0.84 ,-1.56 ,1.04 ,-1.72 ,0.95 ,,,-1.54 ,1.01 ,-1.56 ,1.03 ,210.2588542 ,-38.0509204 ,-64.222 ,-37.467 ,-58.197 ,94.42 ,thick ,F0(V)W ,8.73 ,0.463 ,-162.30 ,-128.90 ,11.30 ,6078.7 ,3.73 ,1.10 ,1.66 ,
HIP 101234 ,-0.21 ,0.04 ,,,,,0.01 ,0.07 ,-0.11 ,0.05 ,,,-0.01 ,0.06 ,-0.08 ,0.05 ,307.8015144 ,56.8900452 ,22.101 ,-28.491 ,55.292 ,66.01 ,N/A ,F8 ,7.95 ,0.616 ,,,,5746.1 ,4.02 ,1.08 ,1.68 ,
2MASS 19481641+4650034 ,0.11 ,0.04 ,0.03 ,0.09 ,0.03 ,0.09 ,0.05 ,0.07 ,0.04 ,0.05 ,,,0.15 ,0.06 ,0.05 ,0.05 ,297.0684259 ,46.8343029 ,303.252 ,-593.413 ,710.505 ,974.12 ,N/A ,,,,,,,5585.7 ,3.99 ,1.05 ,1.66 ,
HIP 68468 ,0.11 ,0.03 ,0.11 ,0.08 ,0.07 ,0.21 ,0.16 ,0.06 ,0.08 ,0.04 ,0.08 ,0.05 ,0.10 ,0.04 ,0.09 ,0.05 ,210.2650375 ,-32.7569517 ,-62.757 ,-36.621 ,-46.749 ,86.40 ,thin ,G3V ,9.39 ,0.654 ,-28.60 ,-57.90 ,-27.70 ,5579.0 ,4.35 ,1.06 ,1.20 ,
HIP 35702 ,0.18 ,0.04 ,0.03 ,0.09 ,-0.04 ,0.08 ,0.06 ,0.07 ,-0.01 ,0.05 ,,,0.19 ,0.06 ,0.08 ,0.05 ,110.4995473 ,39.9599952 ,-24.875 ,66.533 ,59.518 ,92.67 ,thin ,G5 ,7.99 ,0.910 ,11.00 ,-14.50 ,-7.00 ,5138.0 ,3.52 ,,3.81 ,
HIP 2937 ,-0.06 ,0.03 ,-0.33 ,0.09 ,-0.15 ,0.09 ,0.13 ,0.01 ,0.04 ,0.01 ,0.33 ,0.09 ,0.06 ,0.04 ,0.01 ,0.01 ,9.3260274 ,-54.3938189 ,84.034 ,13.800 ,-118.923 ,146.27 ,thin ,K0II/IIICNIV ,6.40 ,0.995 ,-42.50 ,-24.80 ,4.10 ,4868.0 ,2.54 ,,10.89 ,
HIP 2941 ,-0.12 ,0.04 ,0.12 ,0.09 ,,,-0.02 ,0.04 ,-0.12 ,0.04 ,0.20 ,0.32 ,-0.06 ,0.01 ,0.01 ,0.10 ,,,13.906 ,2.286 ,-6.502 ,15.52 ,thin ,G7V ,5.57 ,0.715 ,-86.40 ,-52.80 ,-24.20 ,5249.9 ,4.42 ,,,
HIP 35710 ,-0.31 ,0.04 ,-0.40 ,0.02 ,-0.24 ,0.04 ,-0.24 ,0.02 ,-0.16 ,0.06 ,0.35 ,0.09 ,-0.20 ,0.06 ,-0.24 ,0.02 ,110.5109067 ,36.7605836 ,-20.295 ,54.251 ,43.270 ,72.30 ,thin ,K0III ,5.12 ,1.082 ,-33.10 ,2.60 ,-24.10 ,4620.0 ,2.56 ,,12.31 ,
HIP 101245 ,-0.12 ,0.16 ,-0.28 ,0.08 ,-0.14 ,0.05 ,-0.03 ,0.10 ,-0.04 ,0.18 ,0.46 ,0.09 ,-0.02 ,0.10 ,-0.11 ,0.13 ,307.8381307 ,52.3095234 ,43.150 ,-55.552 ,91.042 ,115.05 ,thin ,K0III ,6.20 ,1.018 ,-41.10 ,-9.90 ,0.50 ,4869.6 ,2.68 ,,10.30 ,
HIP 2945 ,0.11 ,0.04 ,-0.21 ,0.09 ,-0.12 ,0.09 ,-0.12 ,0.07 ,-0.20 ,0.05 ,,,0.09 ,0.06 ,-0.03 ,0.05 ,9.3456146 ,-19.5650247 ,354.089 ,58.274 ,-127.535 ,380.84 ,N/A ,G8III/IV ,8.28 ,0.902 ,,,,5107.0 ,2.95 ,,10.98 ,
2MASS 18484802+4425202 ,0.15 ,0.04 ,0.10 ,0.09 ,0.11 ,0.09 ,0.12 ,0.07 ,0.10 ,0.05 ,,,0.16 ,0.06 ,0.10 ,0.05 ,282.2001055 ,44.4222737 ,143.199 ,-662.316 ,664.091 ,948.78 ,N/A ,,,,,,,6190.0 ,4.27 ,1.16 ,1.26 ,
HIP 35718 ,-0.02 ,0.11 ,,,0.22 ,0.09 ,0.00 ,0.07 ,0.05 ,0.05 ,,,-0.07 ,0.06 ,0.03 ,0.05 ,110.5403991 ,-1.8627265 ,-16.440 ,43.876 ,-1.524 ,46.88 ,thick ,G8V ,8.73 ,0.774 ,-135.80 ,6.10 ,-35.90 ,5412.5 ,4.46 ,0.94 ,0.95 ,
HIP 68495 ,-0.27 ,0.04 ,-0.50 ,0.09 ,-0.38 ,0.09 ,-0.34 ,0.07 ,-0.48 ,0.05 ,,,-0.25 ,0.06 ,-0.30 ,0.05 ,210.3317553 ,13.7326807 ,-111.966 ,-65.511 ,31.701 ,133.54 ,thin ,G8III-IV ,7.15 ,0.873 ,-35.90 ,3.40 ,-9.70 ,5022.7 ,2.95 ,,7.06 ,
HIP 101274 ,0.07 ,0.04 ,0.01 ,0.09 ,,,0.06 ,0.05 ,0.05 ,0.04 ,,,0.04 ,0.10 ,0.18 ,0.01 ,307.9207943 ,-35.5241603 ,19.857 ,-25.489 ,-23.068 ,39.70 ,thin ,K1V ,9.25 ,0.831 ,26.50 ,-18.10 ,-16.90 ,5063.0 ,4.44 ,0.84 ,0.80 ,
HIP 35739 ,0.04 ,0.04 ,0.20 ,0.09 ,,,0.01 ,0.07 ,-0.01 ,0.05 ,,,-0.03 ,0.06 ,0.14 ,0.05 ,110.5785760 ,-39.2533268 ,-9.891 ,26.345 ,-22.994 ,36.34 ,thin ,K2V ,8.83 ,0.875 ,-3.30 ,-1.00 ,-26.90 ,5086.5 ,4.58 ,0.86 ,0.79 ,
HIP 68513 ,-0.28 ,0.04 ,-0.24 ,0.09 ,-0.05 ,0.09 ,-0.21 ,0.07 ,-0.32 ,0.05 ,,,-0.20 ,0.06 ,-0.16 ,0.05 ,210.3930581 ,36.2241894 ,-75.047 ,-44.018 ,63.734 ,107.85 ,thin ,G7IV ,7.53 ,0.840 ,-42.50 ,-73.80 ,13.70 ,5101.0 ,3.45 ,,4.60 ,
HIP 2981 ,-0.55 ,0.10 ,-0.24 ,0.09 ,-0.29 ,0.13 ,-0.38 ,0.07 ,-0.47 ,0.06 ,-0.29 ,0.09 ,-0.42 ,0.06 ,-0.45 ,0.09 ,9.4874622 ,47.4077157 ,30.232 ,5.052 ,33.342 ,45.29 ,thin ,F5 ,7.53 ,0.463 ,-32.30 ,9.80 ,-26.70 ,6150.0 ,4.30 ,1.17 ,1.13 ,
HIP 35750 ,0.08 ,0.13 ,,,-0.04 ,0.09 ,0.04 ,0.07 ,0.04 ,0.05 ,,,-0.06 ,0.06 ,0.13 ,0.05 ,110.6113147 ,8.9020104 ,-16.151 ,42.944 ,7.186 ,46.44 ,thin ,K2V ,9.37 ,0.897 ,92.50 ,-40.70 ,-4.90 ,4972.1 ,4.54 ,0.84 ,0.80 ,
HIP 35751 ,0.05 ,0.09 ,,,,,0.19 ,0.16 ,0.13 ,0.05 ,0.43 ,0.09 ,0.14 ,0.14 ,0.28 ,0.05 ,110.6179979 ,0.7008317 ,-25.091 ,66.691 ,0.872 ,71.26 ,thin ,K0/1III ,6.43 ,0.995 ,12.50 ,-16.40 ,3.80 ,4906.1 ,3.32 ,,5.40 ,
HIP 101285 ,-0.70 ,0.04 ,-0.45 ,0.09 ,-0.04 ,0.09 ,-0.35 ,0.07 ,-0.48 ,0.05 ,,,-0.53 ,0.06 ,-0.60 ,0.05 ,307.9437891 ,56.7798627 ,77.689 ,-99.639 ,192.930 ,230.62 ,thin ,K5III ,6.14 ,1.431 ,19.00 ,-15.90 ,10.70 ,4239.4 ,,,45.24 ,
HD 164059a ,0.05 ,0.01 ,,,,,0.04 ,0.07 ,-0.01 ,0.05 ,-0.01 ,0.09 ,0.07 ,0.06 ,-0.06 ,0.05 ,269.2712079 ,45.8559537 ,-0.653 ,-51.327 ,52.888 ,73.70 ,N/A ,,,,,,,6268.0 ,3.97 ,1.28 ,2.35 ,
HIP 101292 ,0.16 ,0.04 ,-0.08 ,0.09 ,0.31 ,0.09 ,0.12 ,0.07 ,0.11 ,0.05 ,0.03 ,0.09 ,0.15 ,0.06 ,0.16 ,0.05 ,307.9697382 ,-40.9016846 ,20.326 ,-26.045 ,-28.620 ,43.71 ,thin ,K0/2+F/G ,7.60 ,0.709 ,-29.30 ,-22.30 ,-4.30 ,5580.7 ,4.38 ,0.91 ,1.02 ,
HIP 68537 ,-0.62 ,0.04 ,-0.41 ,0.09 ,-0.03 ,0.09 ,-0.41 ,0.07 ,-0.43 ,0.05 ,,,-0.58 ,0.06 ,-0.54 ,0.05 ,210.4610404 ,68.6786749 ,-71.655 ,-42.143 ,212.982 ,228.63 ,thin ,K5 ,6.34 ,1.412 ,-17.30 ,-39.20 ,-3.30 ,4395.9 ,,,31.56 ,
HIP 3006 ,-0.11 ,0.02 ,-0.06 ,0.09 ,0.14 ,0.09 ,-0.12 ,0.07 ,-0.12 ,0.05 ,-0.03 ,0.09 ,-0.06 ,0.06 ,-0.10 ,0.05 ,9.5607521 ,84.6749809 ,3.775 ,0.636 ,41.072 ,41.25 ,thin ,F5 ,7.11 ,0.554 ,-2.20 ,11.50 ,1.10 ,6159.0 ,4.37 ,1.17 ,1.27 ,
HD 2326 ,0.10 ,0.04 ,,,-0.09 ,0.09 ,0.14 ,0.07 ,0.17 ,0.05 ,,,0.25 ,0.06 ,,,6.7768695 ,-6.6046894 ,313.117 ,37.209 ,-36.510 ,317.43 ,N/A ,,,,,,,3292.5 ,,,,
HIP 3014 ,-0.36 ,0.04 ,-0.09 ,0.09 ,0.09 ,0.04 ,-0.24 ,0.07 ,-0.19 ,0.05 ,-0.11 ,0.09 ,-0.25 ,0.06 ,-0.35 ,0.05 ,9.5884699 ,19.7050013 ,86.944 ,14.687 ,31.580 ,93.66 ,thin ,F5 ,8.37 ,0.524 ,-13.30 ,-9.80 ,-12.10 ,6307.0 ,4.06 ,1.20 ,1.95 ,
2MASS 19544170+4347437 ,-0.08 ,0.04 ,-0.14 ,0.09 ,-0.01 ,0.09 ,-0.14 ,0.07 ,-0.13 ,0.05 ,,,-0.01 ,0.06 ,-0.03 ,0.05 ,298.6737947 ,43.7954663 ,163.243 ,-298.494 ,326.204 ,471.33 ,N/A ,,,,,,,5601.9 ,4.04 ,,,
HIP 68555 ,-0.26 ,0.04 ,-0.25 ,0.09 ,-0.11 ,0.09 ,-0.18 ,0.07 ,-0.14 ,0.05 ,,,-0.15 ,0.06 ,-0.22 ,0.05 ,210.5035247 ,70.3363946 ,-75.862 ,-44.692 ,246.401 ,261.66 ,thin ,G8III ,7.51 ,1.071 ,1.60 ,-3.80 ,-49.20 ,4767.0 ,,,10.67 ,
HIP 101325 ,-0.51 ,0.04 ,-0.39 ,0.09 ,-0.18 ,0.09 ,-0.27 ,0.07 ,-0.43 ,0.05 ,,,-0.23 ,0.06 ,-0.36 ,0.05 ,308.0563892 ,65.3992165 ,35.290 ,-45.078 ,125.037 ,137.52 ,thin ,K0III ,6.57 ,1.097 ,-16.00 ,15.60 ,5.60 ,4925.3 ,,,12.05 ,
HIP 3022 ,-0.68 ,0.04 ,,,,,-0.33 ,0.07 ,-0.46 ,0.05 ,,,-0.50 ,0.06 ,-0.24 ,0.05 ,9.6216312 ,42.9999335 ,35.440 ,6.008 ,33.520 ,49.15 ,N/A ,G5 ,9.96 ,0.792 ,,,,5244.4 ,4.55 ,0.87 ,0.67 ,
HIP 35790 ,-0.06 ,0.04 ,,,,,0.09 ,0.07 ,0.06 ,0.05 ,,,0.03 ,0.06 ,0.08 ,0.05 ,110.7372941 ,-55.5771679 ,-17.046 ,45.022 ,-70.247 ,85.16 ,N/A ,K0/1III ,6.89 ,1.043 ,,,,4821.7 ,2.96 ,,5.87 ,
HIP 3026 ,-1.12 ,0.27 ,-1.32 ,0.10 ,-0.70 ,0.22 ,-1.01 ,0.13 ,-1.02 ,0.10 ,,,-0.91 ,0.06 ,-0.96 ,0.22 ,9.6331139 ,-8.3092758 ,100.930 ,17.131 ,-14.952 ,103.46 ,thick ,F5.V ,9.25 ,0.465 ,133.60 ,-233.90 ,-41.50 ,6460.9 ,4.06 ,1.12 ,1.43 ,
HIP 3028 ,-0.30 ,0.09 ,-0.13 ,0.08 ,-0.22 ,0.06 ,-0.20 ,0.09 ,-0.24 ,0.19 ,-0.07 ,0.17 ,-0.13 ,0.11 ,-0.09 ,0.11 ,9.6384957 ,-12.1724161 ,40.370 ,6.856 ,-8.833 ,41.89 ,N/A ,K0V ,9.21 ,0.846 ,,,,5214.0 ,4.55 ,0.86 ,0.76 ,
HD 147609 ,-0.38 ,0.08 ,0.16 ,0.02 ,0.32 ,0.09 ,-0.25 ,0.20 ,-0.23 ,0.10 ,,,-0.27 ,0.14 ,-0.40 ,0.12 ,245.4666280 ,27.3742354 ,-85.244 ,-186.762 ,106.298 ,231.18 ,N/A ,,,,,,,6107.3 ,3.94 ,1.25 ,2.57 ,
HIP 3031 ,-0.60 ,0.16 ,-0.54 ,0.06 ,-0.26 ,0.20 ,-0.19 ,0.12 ,-0.32 ,0.06 ,-0.21 ,0.09 ,-0.40 ,0.08 ,-0.39 ,0.14 ,9.6389476 ,29.3117532 ,43.172 ,7.332 ,24.586 ,50.22 ,thin ,G7IIIFe-3CH1 ,4.34 ,0.871 ,101.10 ,-59.30 ,-1.10 ,4977.0 ,2.45 ,,9.10 ,
HIP 3033 ,0.16 ,0.02 ,0.06 ,0.09 ,-0.03 ,0.09 ,0.26 ,0.01 ,0.12 ,0.02 ,0.06 ,0.02 ,0.18 ,0.06 ,0.18 ,0.05 ,9.6436582 ,6.0217624 ,70.003 ,11.895 ,7.490 ,71.40 ,thin ,G0V ,8.77 ,0.590 ,-26.20 ,-27.90 ,-44.40 ,5953.8 ,4.42 ,1.10 ,1.10 ,
HIP 68573 ,0.16 ,0.02 ,0.14 ,0.01 ,0.21 ,0.09 ,0.16 ,0.07 ,0.12 ,0.05 ,0.10 ,0.09 ,0.13 ,0.06 ,0.21 ,0.05 ,210.5835563 ,-12.0371247 ,-49.996 ,-29.548 ,-12.383 ,59.38 ,thin ,G3/5V ,8.71 ,0.707 ,-8.50 ,-5.40 ,1.40 ,5714.5 ,4.37 ,1.03 ,1.09 ,
HIP 101345 ,0.08 ,0.17 ,0.14 ,0.10 ,0.03 ,0.20 ,0.15 ,0.25 ,0.07 ,0.06 ,0.05 ,0.06 ,0.13 ,0.15 ,0.15 ,0.20 ,308.0987279 ,-9.8533845 ,14.833 ,-18.918 ,-4.176 ,24.40 ,thin ,G2V ,5.66 ,0.689 ,-18.10 ,19.20 ,-28.30 ,5625.5 ,4.02 ,1.00 ,1.80 ,
HIP 101346 ,-0.52 ,0.36 ,-0.37 ,0.20 ,-0.41 ,0.58 ,-0.36 ,0.12 ,-0.43 ,0.13 ,-0.41 ,0.03 ,-0.43 ,0.13 ,-0.47 ,0.14 ,308.0999654 ,6.5175710 ,60.373 ,-76.997 ,11.178 ,98.48 ,thin ,G0V ,8.54 ,0.544 ,-53.10 ,-22.80 ,-7.70 ,6000.0 ,3.88 ,1.13 ,1.61 ,
2MASS 20002456+4545437 ,0.47 ,0.04 ,,,,,,,0.12 ,0.05 ,,,,,0.31 ,0.05 ,300.1023571 ,45.7621563 ,415.680 ,-717.017 ,851.144 ,1188.00 ,N/A ,,,,,,,5053.8 ,4.15 ,1.03 ,1.50 ,
