# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
0.033	0.022	${226}_{-2}^{+2}$	${12.2}_{-0.5}^{+0.4}$	${0.13}_{-0.01}^{+0.01}$	${2.4}_{-0.2}^{+0.2}$	${0.36}_{-0.04}^{+0.04}$	${0.25}_{-0.03}^{+0.03}$	${0.18}_{-0.04}^{+0.04}$	${0.05}_{-0.04}^{+0.03}$	${0.11}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.50}_{-0.06}^{+0.05}$	${0.23}_{-0.03}^{+0.03}$	${0.15}_{-0.08}^{+0.08}$	
0.056	0.050	${232}_{-2}^{+2}$	${11.9}_{-0.8}^{+0.7}$	${0.09}_{-0.02}^{+0.02}$	${2.5}_{-0.2}^{+0.2}$	${0.33}_{-0.04}^{+0.03}$	${0.24}_{-0.03}^{+0.03}$	${0.13}_{-0.03}^{+0.03}$	${0.04}_{-0.03}^{+0.03}$	${0.11}_{-0.04}^{+0.04}$	$-{0.02}_{-0.03}^{+0.03}$	${0.41}_{-0.06}^{+0.06}$	${0.21}_{-0.03}^{+0.03}$	${0.13}_{-0.07}^{+0.07}$	
0.087	0.083	${242}_{-2}^{+2}$	${10.5}_{-0.8}^{+0.8}$	${0.10}_{-0.02}^{+0.02}$	${2.8}_{-0.3}^{+0.3}$	${0.30}_{-0.05}^{+0.05}$	${0.24}_{-0.04}^{+0.04}$	${0.12}_{-0.04}^{+0.04}$	${0.05}_{-0.03}^{+0.03}$	${0.10}_{-0.04}^{+0.04}$	$-{0.03}_{-0.03}^{+0.03}$	${0.36}_{-0.04}^{+0.04}$	${0.20}_{-0.03}^{+0.03}$	${0.12}_{-0.08}^{+0.08}$	
0.152	0.150	${242}_{-2}^{+2}$	${10.0}_{-0.8}^{+0.9}$	${0.07}_{-0.02}^{+0.02}$	${2.8}_{-0.3}^{+0.2}$	${0.29}_{-0.04}^{+0.04}$	${0.23}_{-0.03}^{+0.03}$	${0.10}_{-0.04}^{+0.04}$	${0.00}_{-0.03}^{+0.03}$	${0.07}_{-0.04}^{+0.04}$	$-{0.02}_{-0.03}^{+0.03}$	${0.33}_{-0.04}^{+0.04}$	${0.20}_{-0.03}^{+0.03}$	${0.02}_{-0.11}^{+0.11}$	
0.268	0.267	${236}_{-2}^{+2}$	${10.6}_{-1.7}^{+1.7}$	${0.02}_{-0.05}^{+0.05}$	${2.5}_{-0.4}^{+0.4}$	${0.34}_{-0.05}^{+0.04}$	${0.25}_{-0.04}^{+0.04}$	${0.08}_{-0.05}^{+0.05}$	${0.01}_{-0.04}^{+0.04}$	${0.09}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.35}_{-0.06}^{+0.06}$	${0.21}_{-0.03}^{+0.03}$	${0.08}_{-0.12}^{+0.12}$	
0.418	0.417	${218}_{-2}^{+2}$	${11.8}_{-1.0}^{+0.9}$	$-{0.07}_{-0.02}^{+0.02}$	${2.2}_{-0.2}^{+0.2}$	${0.35}_{-0.04}^{+0.03}$	${0.24}_{-0.03}^{+0.03}$	${0.11}_{-0.04}^{+0.04}$	${0.01}_{-0.04}^{+0.03}$	${0.06}_{-0.04}^{+0.04}$	$-{0.01}_{-0.02}^{+0.02}$	${0.36}_{-0.03}^{+0.03}$	${0.20}_{-0.03}^{+0.03}$	${0.06}_{-0.07}^{+0.06}$	
0.626	0.625	${208}_{-2}^{+2}$	${10.5}_{-0.7}^{+0.7}$	$-{0.16}_{-0.02}^{+0.02}$	${2.1}_{-0.2}^{+0.2}$	${0.28}_{-0.05}^{+0.04}$	${0.22}_{-0.02}^{+0.02}$	${0.09}_{-0.03}^{+0.03}$	$-{0.03}_{-0.03}^{+0.03}$	$-{0.03}_{-0.05}^{+0.05}$	${0.03}_{-0.02}^{+0.02}$	${0.29}_{-0.03}^{+0.03}$	${0.14}_{-0.02}^{+0.02}$	${0.11}_{-0.05}^{+0.05}$	
1.175	1.175	${196}_{-4}^{+4}$	${9.4}_{-1.0}^{+1.0}$	$-{0.31}_{-0.02}^{+0.02}$	${2.4}_{-0.2}^{+0.1}$	${0.49}_{-0.02}^{+0.02}$	${0.26}_{-0.03}^{+0.03}$	${0.11}_{-0.03}^{+0.03}$	$-{0.03}_{-0.04}^{+0.04}$	$-{0.09}_{-0.05}^{+0.05}$	$-{0.05}_{-0.02}^{+0.02}$	${0.31}_{-0.03}^{+0.03}$	${0.25}_{-0.02}^{+0.02}$	${0.06}_{-0.14}^{+0.14}$	
															
NGC3923															
