# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
0.019	0.007	${158}_{-1}^{+1}$	${11.6}_{-0.7}^{+0.7}$	${0.14}_{-0.02}^{+0.02}$	${2.2}_{-0.2}^{+0.2}$	${0.31}_{-0.04}^{+0.04}$	${0.21}_{-0.03}^{+0.03}$	${0.10}_{-0.04}^{+0.03}$	${0.02}_{-0.03}^{+0.03}$	${0.06}_{-0.04}^{+0.04}$	$-{0.01}_{-0.02}^{+0.02}$	${0.32}_{-0.03}^{+0.03}$	${0.20}_{-0.03}^{+0.03}$	${0.04}_{-0.08}^{+0.08}$	
0.033	0.028	${154}_{-2}^{+2}$	${10.2}_{-0.4}^{+0.4}$	${0.08}_{-0.01}^{+0.01}$	${2.4}_{-0.1}^{+0.1}$	${0.30}_{-0.03}^{+0.03}$	${0.21}_{-0.02}^{+0.02}$	${0.02}_{-0.08}^{+0.08}$	${0.02}_{-0.03}^{+0.03}$	${0.04}_{-0.04}^{+0.03}$	$-{0.01}_{-0.02}^{+0.02}$	${0.26}_{-0.03}^{+0.03}$	${0.18}_{-0.02}^{+0.02}$	$-{0.02}_{-0.12}^{+0.12}$	
0.085	0.083	${147}_{-1}^{+1}$	${11.0}_{-0.7}^{+0.8}$	$-{0.10}_{-0.02}^{+0.02}$	${2.1}_{-0.3}^{+0.2}$	${0.32}_{-0.04}^{+0.04}$	${0.19}_{-0.03}^{+0.03}$	${0.09}_{-0.04}^{+0.03}$	$-{0.04}_{-0.03}^{+0.03}$	${0.00}_{-0.04}^{+0.04}$	${0.00}_{-0.02}^{+0.02}$	${0.17}_{-0.04}^{+0.04}$	${0.17}_{-0.03}^{+0.03}$	$-{0.16}_{-0.15}^{+0.15}$	
0.188	0.188	${138}_{-2}^{+2}$	${10.0}_{-0.5}^{+0.5}$	$-{0.17}_{-0.02}^{+0.02}$	${2.3}_{-0.2}^{+0.2}$	${0.31}_{-0.04}^{+0.04}$	${0.19}_{-0.03}^{+0.03}$	${0.08}_{-0.04}^{+0.04}$	$-{0.07}_{-0.03}^{+0.03}$	${0.00}_{-0.05}^{+0.05}$	$-{0.00}_{-0.02}^{+0.02}$	${0.09}_{-0.04}^{+0.04}$	${0.16}_{-0.03}^{+0.03}$	$-{0.20}_{-0.15}^{+0.15}$	
0.375	0.375	${129}_{-2}^{+2}$	${8.6}_{-0.8}^{+0.8}$	$-{0.25}_{-0.02}^{+0.02}$	${2.4}_{-0.1}^{+0.1}$	${0.38}_{-0.04}^{+0.04}$	${0.21}_{-0.03}^{+0.03}$	${0.07}_{-0.04}^{+0.04}$	$-{0.11}_{-0.03}^{+0.03}$	${0.01}_{-0.05}^{+0.05}$	$-{0.03}_{-0.02}^{+0.02}$	${0.09}_{-0.04}^{+0.04}$	${0.18}_{-0.03}^{+0.03}$	$-{0.09}_{-0.16}^{+0.16}$	
0.625	0.625	${139}_{-3}^{+3}$	${6.8}_{-1.0}^{+1.0}$	$-{0.30}_{-0.04}^{+0.04}$	${2.4}_{-0.2}^{+0.2}$	${0.45}_{-0.05}^{+0.05}$	${0.16}_{-0.04}^{+0.04}$	$-{0.02}_{-0.06}^{+0.06}$	$-{0.13}_{-0.03}^{+0.03}$	$-{0.15}_{-0.05}^{+0.05}$	$-{0.05}_{-0.03}^{+0.03}$	${0.09}_{-0.05}^{+0.05}$	${0.20}_{-0.04}^{+0.04}$	$-{0.17}_{-0.15}^{+0.16}$	
0.875	0.875	${142}_{-4}^{+4}$	${6.6}_{-1.0}^{+1.1}$	$-{0.34}_{-0.05}^{+0.05}$	${2.2}_{-0.3}^{+0.2}$	${0.32}_{-0.11}^{+0.10}$	${0.18}_{-0.06}^{+0.06}$	$-{0.07}_{-0.07}^{+0.08}$	$-{0.20}_{-0.04}^{+0.05}$	$-{0.17}_{-0.07}^{+0.07}$	$-{0.05}_{-0.04}^{+0.04}$	${0.10}_{-0.08}^{+0.07}$	${0.16}_{-0.05}^{+0.06}$	$-{0.09}_{-0.13}^{+0.16}$	
															
NGC7796															
0.030	0.015	${246}_{-2}^{+2}$	${12.9}_{-0.7}^{+0.6}$	${0.01}_{-0.02}^{+0.02}$	${2.3}_{-0.3}^{+0.2}$	${0.35}_{-0.04}^{+0.04}$	${0.25}_{-0.03}^{+0.03}$	${0.12}_{-0.04}^{+0.04}$	${0.05}_{-0.05}^{+0.04}$	${0.09}_{-0.04}^{+0.04}$	$-{0.00}_{-0.02}^{+0.02}$	${0.55}_{-0.03}^{+0.03}$	${0.21}_{-0.03}^{+0.03}$	${0.25}_{-0.05}^{+0.04}$	
0.056	0.050	${241}_{-2}^{+2}$	${12.7}_{-0.8}^{+0.8}$	$-{0.01}_{-0.02}^{+0.02}$	${2.4}_{-0.2}^{+0.2}$	${0.31}_{-0.05}^{+0.04}$	${0.25}_{-0.03}^{+0.03}$	${0.12}_{-0.04}^{+0.04}$	${0.06}_{-0.04}^{+0.04}$	${0.10}_{-0.04}^{+0.04}$	$-{0.00}_{-0.02}^{+0.02}$	${0.50}_{-0.05}^{+0.04}$	${0.19}_{-0.03}^{+0.03}$	${0.23}_{-0.06}^{+0.05}$	
0.101	0.098	${236}_{-2}^{+2}$	${12.9}_{-0.7}^{+0.6}$	$-{0.05}_{-0.02}^{+0.02}$	${2.4}_{-0.2}^{+0.2}$	${0.34}_{-0.04}^{+0.04}$	${0.25}_{-0.03}^{+0.02}$	${0.12}_{-0.04}^{+0.03}$	${0.07}_{-0.04}^{+0.04}$	${0.10}_{-0.04}^{+0.04}$	${0.00}_{-0.02}^{+0.02}$	${0.44}_{-0.04}^{+0.05}$	${0.20}_{-0.02}^{+0.02}$	${0.21}_{-0.06}^{+0.05}$	
0.189	0.188	${234}_{-2}^{+2}$	${12.9}_{-0.8}^{+0.6}$	$-{0.08}_{-0.02}^{+0.02}$	${2.5}_{-0.3}^{+0.2}$	${0.30}_{-0.05}^{+0.04}$	${0.23}_{-0.03}^{+0.02}$	${0.12}_{-0.04}^{+0.04}$	${0.02}_{-0.04}^{+0.04}$	${0.10}_{-0.04}^{+0.04}$	${0.02}_{-0.02}^{+0.02}$	${0.35}_{-0.03}^{+0.03}$	${0.18}_{-0.03}^{+0.03}$	${0.16}_{-0.06}^{+0.05}$	
0.376	0.375	${228}_{-2}^{+2}$	${13.0}_{-0.7}^{+0.6}$	$-{0.13}_{-0.02}^{+0.02}$	${2.3}_{-0.3}^{+0.3}$	${0.27}_{-0.05}^{+0.05}$	${0.22}_{-0.03}^{+0.03}$	${0.09}_{-0.04}^{+0.04}$	${0.01}_{-0.05}^{+0.05}$	${0.11}_{-0.04}^{+0.04}$	${0.01}_{-0.02}^{+0.02}$	${0.32}_{-0.03}^{+0.03}$	${0.16}_{-0.03}^{+0.03}$	${0.08}_{-0.08}^{+0.06}$	
0.626	0.625	${214}_{-3}^{+3}$	${13.4}_{-0.6}^{+0.4}$	$-{0.20}_{-0.02}^{+0.02}$	${2.2}_{-0.3}^{+0.2}$	${0.33}_{-0.05}^{+0.05}$	${0.22}_{-0.03}^{+0.03}$	${0.10}_{-0.04}^{+0.04}$	${0.02}_{-0.05}^{+0.05}$	${0.11}_{-0.05}^{+0.04}$	${0.00}_{-0.02}^{+0.02}$	${0.32}_{-0.03}^{+0.03}$	${0.19}_{-0.03}^{+0.03}$	$-{0.00}_{-0.11}^{+0.11}$	
0.875	0.875	${215}_{-3}^{+3}$	${13.5}_{-0.7}^{+0.5}$	$-{0.23}_{-0.02}^{+0.02}$	${2.2}_{-0.3}^{+0.3}$	${0.39}_{-0.05}^{+0.05}$	${0.19}_{-0.03}^{+0.03}$	${0.17}_{-0.04}^{+0.04}$	${0.05}_{-0.07}^{+0.07}$	${0.12}_{-0.05}^{+0.05}$	$-{0.03}_{-0.02}^{+0.02}$	${0.32}_{-0.03}^{+0.03}$	${0.23}_{-0.03}^{+0.03}$	${0.16}_{-0.13}^{+0.12}$	
															
UGC1382															
0.028	0.016	${182}_{-3}^{+3}$	${9.5}_{-0.9}^{+0.9}$	$-{0.05}_{-0.02}^{+0.02}$	${3.1}_{-0.2}^{+0.2}$	${0.24}_{-0.10}^{+0.08}$	${0.29}_{-0.04}^{+0.04}$	${0.22}_{-0.06}^{+0.06}$	${0.15}_{-0.05}^{+0.04}$	${0.19}_{-0.05}^{+0.05}$	$-{0.02}_{-0.03}^{+0.03}$	${0.06}_{-0.17}^{+0.16}$	${0.23}_{-0.04}^{+0.03}$	$-{0.36}_{-0.06}^{+0.09}$	
0.052	0.047	${179}_{-4}^{+3}$	${10.9}_{-1.4}^{+1.4}$	$-{0.05}_{-0.03}^{+0.03}$	${2.4}_{-0.6}^{+0.4}$	${0.51}_{-0.04}^{+0.04}$	${0.26}_{-0.04}^{+0.05}$	${0.31}_{-0.07}^{+0.06}$	${0.17}_{-0.05}^{+0.05}$	${0.36}_{-0.05}^{+0.05}$	$-{0.08}_{-0.03}^{+0.03}$	${0.23}_{-0.19}^{+0.15}$	${0.35}_{-0.03}^{+0.04}$	$-{0.32}_{-0.05}^{+0.07}$	
0.097	0.094	${173}_{-3}^{+3}$	${9.7}_{-0.9}^{+1.0}$	$-{0.05}_{-0.03}^{+0.03}$	${3.2}_{-0.2}^{+0.1}$	${0.27}_{-0.11}^{+0.09}$	${0.26}_{-0.05}^{+0.05}$	${0.21}_{-0.07}^{+0.07}$	${0.00}_{-0.06}^{+0.06}$	${0.22}_{-0.06}^{+0.05}$	$-{0.04}_{-0.03}^{+0.03}$	${0.33}_{-0.16}^{+0.15}$	${0.25}_{-0.04}^{+0.04}$	$-{0.34}_{-0.06}^{+0.09}$	
0.189	0.188	${157}_{-3}^{+3}$	${10.5}_{-1.1}^{+1.3}$	$-{0.07}_{-0.03}^{+0.03}$	${2.7}_{-0.3}^{+0.3}$	${0.19}_{-0.06}^{+0.08}$	${0.17}_{-0.05}^{+0.05}$	${0.33}_{-0.07}^{+0.06}$	${0.15}_{-0.06}^{+0.06}$	${0.17}_{-0.07}^{+0.06}$	$-{0.11}_{-0.03}^{+0.03}$	${0.26}_{-0.21}^{+0.18}$	${0.18}_{-0.04}^{+0.04}$	$-{0.13}_{-0.12}^{+0.16}$	
0.376	0.375	${139}_{-4}^{+4}$	${11.2}_{-1.4}^{+1.4}$	$-{0.12}_{-0.04}^{+0.04}$	${2.7}_{-0.4}^{+0.3}$	${0.45}_{-0.10}^{+0.08}$	${0.27}_{-0.05}^{+0.05}$	${0.37}_{-0.08}^{+0.06}$	${0.11}_{-0.07}^{+0.07}$	${0.14}_{-0.08}^{+0.08}$	$-{0.13}_{-0.03}^{+0.03}$	${0.08}_{-0.19}^{+0.20}$	${0.27}_{-0.04}^{+0.05}$	$-{0.07}_{-0.14}^{+0.18}$	
0.625	0.625	${142}_{-7}^{+8}$	${8.7}_{-1.1}^{+1.4}$	$-{0.23}_{-0.06}^{+0.05}$	${3.3}_{-0.2}^{+0.1}$	${0.45}_{-0.08}^{+0.07}$	${0.32}_{-0.08}^{+0.09}$	${0.40}_{-0.11}^{+0.09}$	$-{0.05}_{-0.13}^{+0.14}$	${0.33}_{-0.11}^{+0.10}$	$-{0.04}_{-0.06}^{+0.07}$	$-{0.27}_{-0.12}^{+0.23}$	${0.29}_{-0.07}^{+0.08}$	${0.07}_{-0.27}^{+0.23}$	
															
IC1459															
0.012	0.004	${307}_{-8}^{+8}$	${13.1}_{-1.0}^{+0.9}$	${0.13}_{-0.02}^{+0.02}$	${2.2}_{-0.5}^{+0.4}$	${0.44}_{-0.07}^{+0.07}$	${0.20}_{-0.05}^{+0.05}$	${0.20}_{-0.14}^{+0.14}$	${0.04}_{-0.06}^{+0.07}$	${0.07}_{-0.06}^{+0.06}$	$-{0.07}_{-0.03}^{+0.03}$	${0.77}_{-0.05}^{+0.06}$	${0.25}_{-0.03}^{+0.03}$	${0.38}_{-0.09}^{+0.09}$	
0.023	0.020	${295}_{-11}^{+11}$	${13.5}_{-0.8}^{+0.7}$	${0.09}_{-0.05}^{+0.05}$	${2.3}_{-0.5}^{+0.4}$	${0.37}_{-0.05}^{+0.05}$	${0.21}_{-0.06}^{+0.06}$	${0.16}_{-0.09}^{+0.08}$	${0.02}_{-0.06}^{+0.06}$	${0.08}_{-0.08}^{+0.08}$	$-{0.01}_{-0.03}^{+0.03}$	${0.69}_{-0.07}^{+0.07}$	${0.21}_{-0.04}^{+0.04}$	${0.28}_{-0.11}^{+0.11}$	
0.048	0.047	${290}_{-8}^{+8}$	${12.9}_{-0.9}^{+0.7}$	${0.06}_{-0.04}^{+0.04}$	${2.4}_{-0.5}^{+0.5}$	${0.35}_{-0.05}^{+0.04}$	${0.21}_{-0.06}^{+0.05}$	${0.15}_{-0.11}^{+0.11}$	${0.03}_{-0.05}^{+0.05}$	${0.10}_{-0.08}^{+0.08}$	$-{0.01}_{-0.03}^{+0.03}$	${0.60}_{-0.06}^{+0.06}$	${0.20}_{-0.03}^{+0.03}$	${0.21}_{-0.07}^{+0.07}$	
0.094	0.094	${284}_{-9}^{+9}$	${12.4}_{-1.2}^{+1.1}$	${0.02}_{-0.06}^{+0.06}$	${2.2}_{-0.5}^{+0.5}$	${0.37}_{-0.05}^{+0.05}$	${0.22}_{-0.05}^{+0.05}$	${0.16}_{-0.11}^{+0.10}$	${0.07}_{-0.07}^{+0.07}$	${0.08}_{-0.10}^{+0.10}$	$-{0.03}_{-0.04}^{+0.04}$	${0.57}_{-0.06}^{+0.05}$	${0.22}_{-0.04}^{+0.04}$	${0.16}_{-0.09}^{+0.08}$	
0.188	0.188	${272}_{-13}^{+13}$	${11.6}_{-1.7}^{+1.7}$	$-{0.09}_{-0.04}^{+0.05}$	${1.9}_{-0.5}^{+0.5}$	${0.42}_{-0.05}^{+0.05}$	${0.21}_{-0.07}^{+0.07}$	${0.15}_{-0.10}^{+0.09}$	${0.05}_{-0.05}^{+0.05}$	$-{0.06}_{-0.09}^{+0.09}$	$-{0.03}_{-0.03}^{+0.03}$	${0.45}_{-0.10}^{+0.09}$	${0.23}_{-0.03}^{+0.03}$	${0.17}_{-0.11}^{+0.11}$	
0.375	0.375	${252}_{-14}^{+14}$	${8.7}_{-1.7}^{+1.7}$	$-{0.24}_{-0.06}^{+0.06}$	${1.8}_{-0.5}^{+0.4}$	${0.45}_{-0.07}^{+0.07}$	${0.24}_{-0.10}^{+0.10}$	${0.09}_{-0.12}^{+0.12}$	$-{0.02}_{-0.09}^{+0.09}$	$-{0.14}_{-0.11}^{+0.11}$	$-{0.04}_{-0.06}^{+0.06}$	${0.37}_{-0.08}^{+0.07}$	${0.22}_{-0.06}^{+0.06}$	${0.03}_{-0.21}^{+0.20}$	
0.625	0.625	${256}_{-13}^{+13}$	${7.8}_{-3.0}^{+3.0}$	$-{0.31}_{-0.18}^{+0.18}$	${2.1}_{-0.6}^{+0.4}$	${0.43}_{-0.09}^{+0.07}$	${0.19}_{-0.07}^{+0.07}$	$-{0.16}_{-0.12}^{+0.13}$	$-{0.17}_{-0.07}^{+0.07}$	$-{0.27}_{-0.08}^{+0.09}$	$-{0.04}_{-0.04}^{+0.05}$	${0.38}_{-0.12}^{+0.08}$	${0.21}_{-0.05}^{+0.05}$	$-{0.04}_{-0.20}^{+0.21}$	
0.875	0.875	${251}_{-17}^{+17}$	${6.5}_{-2.5}^{+2.6}$	$-{0.32}_{-0.21}^{+0.21}$	${2.4}_{-0.7}^{+0.5}$	${0.45}_{-0.14}^{+0.13}$	${0.21}_{-0.13}^{+0.13}$	$-{0.13}_{-0.19}^{+0.19}$	$-{0.09}_{-0.13}^{+0.14}$	$-{0.31}_{-0.12}^{+0.12}$	$-{0.09}_{-0.11}^{+0.11}$	${0.38}_{-0.19}^{+0.14}$	${0.23}_{-0.12}^{+0.12}$	$-{0.10}_{-0.22}^{+0.24}$	
