,region,galaxy,class,log_O_H,log_O_H_err,T_e,T_e_err,ICF_C_O,ICF_C_O_err,log_C_O,log_C_O_err,study,id,eps_O,eps_O_err,C_O,C_O_err,O_H,O_H_err,eps_o,eps_o_err,log_c_o,log_c_o_err,eps_c,eps_c_err,C_H,C_H_err
36,,J223831,,,,,,,,,,berg+19,,,,-0.4506297898192563,0.095,-1.226789018779705,0.022,7.587,0.022,-0.661,0.095,,,,
37,,J141851,,,,,,,,,,berg+19,,,,-0.6726297898192563,0.065,-1.271789018779705,0.022,7.542,0.022,-0.883,0.065,,,,
38,,J120202,,,,,,,,,,berg+19,,,,-0.5866297898192563,0.093,-1.1837890187797058,0.023,7.63,0.023,-0.797,0.093,,,,
39,,J121402,,,,,,,,,,berg+19,,,,-0.27962978981925624,0.102,-1.1457890187797055,0.021,7.668,0.021,-0.49,0.102,,,,
40,,J084236,,,,,,,,,,berg+19,,,,-0.7386297898192562,0.114,-1.1997890187797058,0.022,7.614,0.022,-0.949,0.114,,,,
41,,J171236,,,,,,,,,,berg+19,,,,-0.5576297898192563,0.102,-1.1157890187797044,0.02,7.698,0.02,-0.768,0.102,,,,
42,,J113116,,,,,,,,,,berg+19,,,,-0.5766297898192563,0.142,-1.165789018779705,0.021,7.648,0.021,-0.787,0.142,,,,
43,,J133126,,,,,,,,,,berg+19,,,,-0.5126297898192562,0.075,-1.1197890187797057,0.02,7.694,0.02,-0.723,0.075,,,,
44,,J132853,,,,,,,,,,berg+19,,,,-0.8316297898192563,0.116,-1.0867890187797045,0.021,7.727,0.021,-1.042,0.116,,,,
45,,J095430,,,,,,,,,,berg+19,,,,-0.3906297898192562,0.111,-1.114789018779705,0.022,7.699,0.022,-0.601,0.111,,,,
46,,J132347,,,,,,,,,,berg+19,,,,-0.8186297898192562,0.079,-1.2297890187797051,0.023,7.584,0.023,-1.029,0.079,,,,
47,,J094718,,,,,,,,,,berg+19,,,,-0.17362978981925628,0.118,-1.0867890187797045,0.023,7.727,0.023,-0.384,0.118,,,,
48,,J150934,,,,,,,,,,berg+19,,,,-0.5806297898192563,0.087,-1.1057890187797046,0.02,7.708,0.02,-0.791,0.087,,,,
49,,J100348,,,,,,,,,,berg+19,,,,-0.3426297898192563,0.129,-1.069789018779705,0.022,7.744,0.022,-0.553,0.129,,,,
50,,J025346,,,,,,,,,,berg+19,,,,-0.39662978981925623,0.111,-0.9027890187797052,0.022,7.911,0.022,-0.607,0.111,,,,
51,,J015809,,,,,,,,,,berg+19,,,,-0.31562978981925627,0.143,-1.0637890187797048,0.022,7.75,0.022,-0.526,0.143,,,,
52,,J104654,,,,,,,,,,berg+19,,,,-0.5836297898192563,0.102,-0.9037890187797046,0.02,7.91,0.02,-0.794,0.102,,,,
53,,J093006,,,,,,,,,,berg+19,,,,-0.6846297898192563,0.101,-0.7947890187797046,0.02,8.019,0.02,-0.895,0.101,,,,
54,,J092055,,,,,,,,,,berg+19,,,,-0.44062978981925627,0.121,-0.9487890187797046,0.018,7.865,0.018,-0.651,0.121,,,,
55,,Mrk 960,,,,,,,,,,pena-guerreno+17,,,,-0.409629789819256,0.39,-0.7037890187797053,0.19,8.11,0.19,,,7.49,0.2,-1.1134188085989614,0.2
56,,SBS 0218+003,,,,,,,,,,pena-guerreno+17,,,,-0.9596297898192567,0.25,-0.8237890187797046,0.06,7.99,0.06,,,6.82,0.19,-1.7834188085989613,0.19
57,,Mrk 1087,,,,,,,,,,pena-guerreno+17,,,,0.4003702101807427,0.35,-0.40378901877970463,0.16,8.41,0.16,,,8.6,0.19,-0.003418808598961931,0.19
58,,NGC 1087,,,,,,,,,,pena-guerreno+17,,,,-0.20962978981925673,0.30000000000000004,-0.5637890187797048,0.1,8.25,0.1,,,7.83,0.2,-0.7734188085989615,0.2
