,[c/o],[c/o]_err,[o/h],[o/h]_err,type
107,-0.42000000000000004,0.05,-0.66,0.05,star
108,-0.29,0.05,-0.41,0.05,star
109,-0.31999999999999995,0.05,-0.65,0.05,star
110,-0.36,0.05,-0.82,0.05,star
111,-0.49,0.05,-0.7,0.05,star
112,-0.42000000000000004,0.05,-0.86,0.05,star
113,-0.26999999999999996,0.05,-0.2,0.05,star
114,-0.35000000000000003,0.05,-0.29,0.05,star
115,-0.24000000000000005,0.05,-0.44,0.05,star
116,-0.22,0.05,-0.17,0.05,star
117,-0.5,0.05,-1.12,0.05,star
118,-0.32999999999999996,0.05,-0.4,0.05,star
119,-0.2899999999999999,0.05,-0.68,0.05,star
120,-0.29999999999999993,0.05,-0.56,0.05,star
121,-0.20999999999999996,0.05,-0.52,0.05,star
122,-0.29000000000000004,0.05,-0.22,0.05,star
123,-0.47000000000000003,0.05,-0.46,0.05,star
124,-0.34,0.05,-0.19,0.05,star
125,-0.23000000000000004,0.05,-0.31,0.05,star
126,-0.33999999999999997,0.05,-0.26,0.05,star
127,-0.30000000000000004,0.05,-0.22,0.05,star
128,-0.48,0.05,-0.5,0.05,star
129,-0.5700000000000001,0.05,-0.79,0.05,star
130,-0.25,0.05,-0.28,0.05,star
131,-0.36000000000000004,0.05,-0.19,0.05,star
132,-0.27,0.05,-0.1,0.05,star
133,-0.4999999999999999,0.05,-0.67,0.05,star
134,-0.32999999999999996,0.05,-0.09,0.05,star
135,-0.39,0.05,-0.48,0.05,star
136,-0.55,0.05,-0.51,0.05,star
137,-0.42000000000000004,0.05,-0.63,0.05,star
138,-0.43999999999999995,0.05,-0.7,0.05,star
139,-0.39,0.05,-0.49,0.05,star
140,-0.3999999999999999,0.05,-0.54,0.05,star
141,-0.62,0.05,-0.91,0.05,star
142,-0.33999999999999997,0.05,-0.07,0.05,star
143,-0.42999999999999994,0.05,-0.27,0.05,star
144,-0.42000000000000004,0.05,-0.51,0.05,star
145,-0.3800000000000001,0.05,-1.15,0.05,star
146,-0.48,0.05,-1.77,0.05,star
147,-0.58,0.05,-1.08,0.05,star
148,-0.4,0.05,-1.61,0.05,star
149,-0.47,0.05,-1.38,0.05,star
150,-0.52,0.05,-1.29,0.05,star
151,-0.44,0.05,-1.47,0.05,star
152,-0.54,0.05,-0.62,0.05,star
153,-0.49,0.05,-1.36,0.05,star
154,-0.64,0.05,-1.1,0.05,star
155,-0.62,0.05,-0.95,0.05,star
156,-0.5,0.05,-0.88,0.05,star
157,-0.51,0.05,-2.21,0.05,star
158,-0.44,0.05,-2.24,0.05,star
159,-0.72,0.05,-0.76,0.05,star
160,-0.65,0.05,-0.8,0.05,star
161,-0.33,0.05,-1.91,0.05,star
162,-0.4,0.05,-0.61,0.05,star
163,-0.58,0.05,-0.91,0.05,star
164,-0.6,0.05,-0.77,0.05,star
165,-0.45,0.05,-1.67,0.05,star
166,-0.41,0.05,-1.27,0.05,star
167,-0.57,0.05,-0.28,0.05,star
168,-0.55,0.05,-1.08,0.05,star
169,-0.58,0.05,-0.97,0.05,star
170,-0.49,0.05,-0.49,0.05,star
171,-0.44,0.05,-0.51,0.05,star
172,-0.63,0.05,-1.44,0.05,star
173,-0.28,0.05,-1.95,0.05,star
174,-0.16,0.05,-2.42,0.05,star
175,-0.48,0.05,-1.63,0.05,star
176,-0.5,0.05,-1.33,0.05,star
177,-0.63,0.05,-1.5,0.05,star
178,-0.53,0.05,-1.85,0.05,star
179,-0.52,0.05,-1.06,0.05,star
180,-0.46,0.05,-1.51,0.05,star
181,-0.61,0.05,-1.75,0.05,star
182,-0.47,0.05,-1.39,0.05,star
183,-0.51,0.05,-1.42,0.05,star
184,-0.4,0.05,-1.6,0.05,star
185,-0.69,0.05,-1.62,0.05,star
186,-0.51,0.05,-1.92,0.05,star
187,-0.42,0.05,-1.86,0.05,star
188,-0.54,0.05,-1.79,0.05,star
